Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.0,2,2,1,1,1
1,0.0,1,1,1,1,1
2,NaN,0,0,1,1,0
3,0.0,3,2,3,2,2
4,0.0,1,1,2,2,2
5,NaN,0,0,0,0,0
6,0.0,2,1,2,2,3
7,NaN,0,1,0,0,0
8,0.0,1,1,1,1,1
9,NaN,0,1,1,1,0
10,NaN,0,1,0,0,0
11,0.0,2,4,4,4,3
12,NaN,0,0,0,0,0
13,0.0,1,1,1,0,1
14,0.0,1,0,0,1,1
15,NaN,0,0,1,1,0
16,0.0,1,2,1,1,1
17,0.0,1,1,0,1,0
18,0.0,2,0,1,0,2
19,0.0,3,2,1,2,3
20,NaN,0,0,0,0,0
21,0.0,2,1,1,2,1
22,NaN,0,0,0,0,0
23,0.0,2,0,0,0,0
24,0.0,2,2,2,2,2
25,0.0,2,2,2,2,2
26,0.0,1,2,2,1,2
27,NaN,0,1,0,0,0
28,NaN,0,1,0,0,0
29,NaN,0,0,0,0,0
30,0.0,1,2,1,2,2
31,NaN,0,0,0,0,1
32,NaN,0,0,0,0,0
33,0.0,2,2,2,2,2
34,0.0,3,1,2,2,1
35,0.0,1,1,2,3,3
36,0.0,1,1,1,1,1
37,0.0,1,2,2,2,0
38,0.0,2,1,1,0,2
39,NaN,0,1,2,1,1
40,0.0,1,2,1,1,1
41,NaN,0,0,0,0,0
42,NaN,0,1,0,0,1
43,0.0,1,0,1,2,2
44,NaN,0,0,1,0,1
45,NaN,0,1,1,0,0
46,0.0,2,2,2,2,2
47,NaN,0,0,0,0,0
48,0.0,1,1,1,1,0
49,0.0,2,2,2,2,2
50,NaN,0,0,0,0,0
51,NaN,0,0,0,0,0
52,NaN,0,0,0,1,1
53,0.0,2,3,1,1,3
54,0.0,1,0,1,1,0
55,0.0,2,0,1,0,0
56,0.0,1,1,1,2,1
57,0.0,1,1,1,1,1
58,0.0,2,3,2,2,1
59,0.0,3,2,3,3,3
60,0.0,3,3,3,3,3
61,NaN,0,0,0,1,0
62,0.0,1,2,1,1,2
63,NaN,0,1,1,1,1
64,0.0,1,1,1,1,1
65,0.0,2,1,2,1,3
66,0.0,1,1,0,1,0
67,0.0,1,0,1,0,0
68,0.0,1,2,2,2,1
69,0.0,2,1,2,2,1
70,NaN,0,1,1,1,1
71,0.0,1,0,0,0,0
72,0.0,2,1,2,1,1
73,0.0,1,1,2,1,1
74,0.0,2,2,1,2,3
75,0.0,2,1,1,0,3
76,0.0,1,1,0,1,0
77,0.0,2,2,2,2,2
78,NaN,0,1,0,0,0
79,0.0,1,2,2,3,1
80,NaN,0,2,1,1,0
81,NaN,0,0,0,0,0
82,0.0,1,1,1,0,1
83,NaN,0,0,0,0,0
84,0.0,1,0,0,1,1
85,0.0,1,1,1,1,1
86,0.0,1,1,1,1,0
87,0.0,1,1,1,1,1
88,NaN,0,0,0,0,0
89,NaN,0,0,0,0,0
90,0.0,1,1,1,2,1
91,NaN,0,1,1,1,1
92,NaN,0,0,0,1,1
93,0.0,1,0,1,0,2
94,0.0,1,1,0,1,0
95,0.0,2,2,2,2,2
96,NaN,0,0,0,0,0
97,0.0,1,1,1,1,1
98,0.0,2,2,2,2,2
99,0.0,3,2,3,1,2
