Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99
0,0,35,0,52,92,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,53,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,37,72,46,25,95,21,70,34,84,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,4,11,90,74,11,60,46,40,1,28,69,99,27,95,59,56,75,14,69,24,19,6,77,3,74,3,19,36,98
0,1,35,0,52,92,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,53,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,37,72,46,25,95,21,70,34,84,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,4,11,90,74,11,60,46,40,1,28,69,99,27,95,59,56,75,14,69,24,19,6,77,3,74,3,19,36,98
0,2,35,0,52,92,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,53,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,37,72,46,25,95,21,70,34,84,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,4,11,90,74,11,60,46,40,1,28,69,99,27,95,59,56,75,14,69,24,19,6,77,3,74,3,19,36,98
0,3,35,0,52,92,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,53,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,37,72,46,25,95,21,70,34,84,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,4,11,90,74,11,60,46,40,1,28,69,99,27,95,59,56,75,14,69,24,19,6,77,3,74,3,19,36,98
0,4,35,0,52,92,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,53,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,37,72,46,25,95,21,70,34,84,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,4,11,90,74,11,60,46,40,1,28,69,99,27,95,59,56,75,14,69,24,19,6,77,3,74,3,19,36,98
0,5,35,0,52,92,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,53,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,37,72,46,25,95,21,70,34,84,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,4,11,90,74,11,60,46,40,1,28,69,99,27,95,59,56,75,14,69,24,19,6,77,3,74,3,19,36,98
0,6,35,0,52,92,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,53,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,37,72,46,25,95,21,71,34,84,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,4,11,90,74,11,60,46,40,1,28,69,99,27,95,59,56,61,7,69,24,19,6,77,3,74,3,19,36,98
0,7,35,0,52,92,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,53,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,37,72,46,25,95,21,71,34,84,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,4,11,90,74,11,60,46,40,1,28,69,99,27,95,59,56,61,7,69,24,19,6,77,3,74,3,19,36,98
0,8,35,0,52,92,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,53,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,37,72,46,25,95,21,71,34,84,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,4,11,90,74,11,60,46,40,1,28,69,99,27,95,59,56,61,7,69,24,19,6,77,3,74,3,19,36,98
0,9,35,0,52,99,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,53,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,37,72,46,25,95,21,70,34,84,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,4,11,90,74,11,60,46,40,1,28,69,99,27,95,59,56,63,7,69,24,19,6,77,3,74,3,19,36,98
0,10,35,0,52,99,33,60,65,79,79,85,2,86,11,17,64,34,25,30,87,56,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,58,13,86,73,37,72,46,25,95,21,70,34,80,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,4,11,90,74,11,60,43,40,1,28,69,99,36,95,59,56,63,7,69,24,19,6,77,3,74,3,19,39,98
0,11,35,0,52,99,33,60,65,79,79,85,2,86,11,17,64,34,25,30,87,56,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,70,34,80,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,0,11,90,74,11,60,43,40,1,28,69,99,36,95,59,56,63,7,69,24,19,6,77,3,74,3,19,36,98
0,12,35,0,52,99,33,60,65,79,79,85,2,86,11,17,64,34,25,30,87,56,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,70,34,80,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,0,11,90,74,11,60,43,40,1,28,69,99,36,95,59,56,63,7,69,24,19,6,77,3,74,3,19,34,98
0,13,35,0,52,99,33,60,65,79,79,85,2,86,11,17,64,34,25,30,87,56,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,70,34,80,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,0,11,90,74,11,60,43,40,1,28,69,99,36,95,59,56,63,7,69,24,19,6,77,3,74,3,19,34,98
0,14,35,0,52,99,33,60,65,79,79,85,2,86,11,17,64,34,25,30,87,56,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,70,34,80,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,0,11,90,74,11,60,43,40,1,28,69,99,36,95,59,56,61,13,69,24,19,6,77,3,74,3,19,34,98
0,15,35,0,52,99,33,60,65,79,79,85,2,86,11,17,64,34,25,30,87,56,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,70,34,80,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,0,11,90,74,11,60,43,40,1,28,69,99,36,95,59,56,61,13,69,24,19,6,77,3,74,3,19,34,98
0,16,35,0,52,99,33,60,65,79,79,85,2,86,11,17,64,34,25,30,87,56,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,70,34,80,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,0,11,90,74,11,60,43,40,1,28,69,99,36,95,59,56,61,13,69,24,19,6,77,3,74,3,19,34,98
0,17,35,0,52,99,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,56,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,70,34,84,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,0,11,90,74,11,60,59,40,1,37,69,99,36,95,59,56,61,13,69,24,19,6,77,3,74,3,19,34,98
0,18,35,0,44,99,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,56,49,73,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,71,34,84,23,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,0,11,90,74,11,60,59,40,1,37,69,99,36,95,59,56,61,7,69,24,19,6,77,3,74,3,19,34,98
0,19,35,0,44,99,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,56,49,63,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,71,34,80,35,68,8,30,76,49,60,58,53,76,43,24,98,52,46,65,97,0,11,90,74,11,60,53,40,1,35,62,99,36,95,59,56,61,7,69,24,19,6,77,3,74,3,19,36,98
0,20,35,0,44,99,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,56,49,63,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,71,34,80,35,68,8,30,76,49,60,58,53,76,43,24,98,45,46,65,97,0,11,90,74,11,60,53,40,1,35,62,99,36,95,59,56,61,7,69,24,19,6,77,3,74,3,19,36,98
0,21,35,0,44,99,33,60,72,79,79,85,2,86,11,17,64,34,25,30,87,56,49,63,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,71,34,80,35,68,8,30,76,49,60,58,53,76,43,24,98,45,46,65,97,0,11,90,74,11,60,53,40,1,35,62,99,36,95,59,56,61,7,69,24,19,6,77,3,74,3,19,36,98
0,22,35,0,44,99,33,60,65,79,79,85,2,93,11,17,64,34,25,30,87,56,49,75,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,71,34,84,35,68,8,23,76,49,60,58,53,76,43,24,98,45,46,65,97,0,11,90,74,11,60,43,40,1,37,62,99,36,95,59,56,61,7,69,24,11,6,77,3,74,3,19,39,98
0,23,35,0,44,99,33,60,65,79,79,85,2,93,11,17,64,34,25,30,87,56,49,75,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,71,34,84,35,68,8,23,76,49,60,58,53,76,43,24,98,45,46,65,97,0,11,90,74,11,60,43,40,1,37,62,99,36,95,59,56,61,7,69,24,11,6,77,3,74,3,19,39,98
0,24,35,0,44,99,33,60,72,79,79,85,2,93,11,17,64,34,25,30,87,53,49,75,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,71,34,84,35,68,8,23,76,49,60,58,53,76,43,24,98,45,46,65,97,0,11,90,74,11,60,43,40,1,37,69,99,27,95,59,56,61,7,69,24,11,6,77,3,74,3,19,36,98
0,25,35,0,54,99,33,60,72,79,79,85,2,93,11,17,64,34,25,30,87,53,49,75,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,71,34,84,35,68,8,23,76,49,60,58,53,76,43,24,98,45,46,65,97,0,11,90,74,11,60,43,40,1,37,69,99,27,95,59,56,61,7,69,24,11,6,77,3,74,3,19,31,98
0,26,35,0,54,99,33,60,72,79,79,85,2,93,11,17,64,34,25,30,87,53,49,75,4,57,18,38,77,58,52,66,94,33,16,9,59,82,68,11,99,26,21,43,13,86,73,37,72,46,25,95,21,71,34,84,35,68,8,23,76,49,60,58,53,76,43,24,98,45,46,65,97,0,11,90,74,11,60,43,40,1,37,69,99,27,95,59,56,61,7,69,24,11,6,77,3,74,3,19,31,98
