Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,NaN,0,0,1,0,0
1,NaN,0,1,0,1,2
2,0.0,1,1,1,1,0
3,0.0,1,0,1,0,2
4,0.0,1,2,1,0,1
5,0.0,2,0,1,3,1
6,NaN,0,2,2,2,0
7,NaN,0,0,0,1,1
8,0.0,4,3,2,1,2
9,0.0,1,0,0,0,1
10,NaN,0,0,0,1,0
11,0.0,1,1,1,0,0
12,0.0,1,0,0,2,0
13,0.0,1,0,2,0,2
14,0.0,1,2,2,1,1
15,NaN,0,2,0,2,1
16,NaN,0,3,2,1,1
17,0.0,2,0,0,0,1
18,0.0,1,1,0,0,0
19,NaN,0,0,1,1,2
20,0.0,2,1,0,1,0
21,0.0,1,1,2,1,0
22,NaN,0,0,1,0,1
23,NaN,0,1,0,1,0
24,NaN,0,0,1,1,0
25,0.0,1,0,1,1,0
26,0.0,2,1,0,0,2
27,NaN,0,1,0,0,0
28,NaN,0,0,0,0,1
29,0.0,2,2,3,0,2
30,NaN,0,1,0,0,1
31,0.0,2,0,1,0,1
32,0.0,2,0,0,1,0
33,0.0,1,2,1,2,1
34,NaN,0,1,1,1,1
35,NaN,0,0,1,0,0
36,0.0,1,1,1,0,1
37,NaN,0,1,1,3,0
38,NaN,0,0,0,2,1
39,NaN,0,0,0,0,1
40,0.0,2,3,1,3,3
41,NaN,0,2,1,1,1
42,NaN,0,0,2,0,1
43,0.0,2,2,2,0,0
44,0.0,2,1,1,0,1
45,0.0,2,0,0,0,2
46,0.0,3,0,4,1,0
47,NaN,0,0,1,3,2
48,0.0,3,1,0,4,0
49,NaN,0,0,0,1,1
50,NaN,0,0,2,1,1
51,0.0,1,2,0,2,2
52,0.0,1,0,2,1,1
53,0.0,1,1,2,3,1
54,0.0,2,3,4,2,2
55,0.0,1,4,1,0,1
56,0.0,1,1,0,2,3
57,0.0,1,2,1,0,2
58,0.0,2,2,1,1,0
59,0.0,2,2,1,1,2
60,NaN,0,0,1,2,0
61,NaN,0,0,1,1,2
62,0.0,1,0,2,1,0
63,0.0,2,1,0,1,1
64,0.0,1,0,1,1,0
65,0.0,2,4,1,0,2
66,0.0,1,0,0,0,0
67,NaN,0,1,0,2,1
68,NaN,0,1,2,0,3
69,0.0,2,3,2,0,0
70,0.0,2,0,1,0,0
71,0.0,1,1,1,2,1
72,NaN,0,1,0,1,0
73,0.0,1,1,2,1,0
74,0.0,1,0,0,1,0
75,0.0,1,1,2,1,1
76,0.0,2,1,1,3,1
77,NaN,0,0,1,1,2
78,0.0,2,3,1,0,1
79,NaN,0,1,0,1,4
80,0.0,1,2,0,0,0
81,0.0,1,3,2,2,2
82,NaN,0,3,1,3,0
83,0.0,1,0,2,2,1
84,NaN,0,1,1,1,1
85,NaN,0,1,1,2,1
86,NaN,0,1,4,2,2
87,0.0,3,0,1,0,1
88,NaN,0,0,0,2,1
89,0.0,1,2,0,0,0
90,0.0,4,1,3,0,1
91,0.0,5,4,1,1,1
92,0.0,3,0,1,0,2
93,NaN,0,0,2,0,2
94,NaN,0,0,0,3,5
95,0.0,1,0,0,0,0
96,NaN,0,1,0,0,1
97,NaN,0,0,1,2,1
98,0.0,3,3,1,3,1
99,0.0,1,2,3,1,1
