Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99
0,0,72,38,7,20,97,83,0,56,96,54,97,5,90,48,79,56,86,9,19,35,4,86,89,0,31,83,39,0,44,39,3,95,46,39,86,87,10,62,65,11,99,57,63,97,49,92,20,63,55,40,11,67,42,77,50,15,25,69,14,65,12,89,30,34,33,47,99,37,89,42,0,92,40,2,18,57,68,94,68,47,73,30,46,9,68,86,26,90,26,82,60,60,91,46,52,49,41,93,16,60
0,1,72,38,7,20,97,83,0,56,96,54,97,5,90,48,79,56,86,9,19,35,4,87,95,53,63,92,30,11,59,76,6,64,26,38,33,99,18,62,65,11,99,57,63,97,49,92,20,63,55,40,11,67,42,77,50,15,25,69,14,65,12,95,23,44,96,86,89,40,23,42,0,92,40,2,18,57,68,94,68,47,73,23,50,18,17,86,26,90,26,82,60,77,18,46,52,49,98,93,10,69
0,2,72,38,7,20,97,62,78,45,54,43,75,17,97,45,77,42,74,19,86,60,32,99,86,73,72,99,25,17,43,76,6,64,26,38,33,99,18,62,65,11,99,57,63,97,49,92,20,63,55,40,11,67,42,34,48,13,23,97,9,48,17,99,36,41,99,86,89,40,23,42,0,92,40,2,18,57,68,86,71,18,39,23,55,18,17,86,26,90,26,16,61,63,18,46,52,56,98,93,18,9
0,3,84,30,38,67,21,62,78,45,54,43,75,17,97,45,77,42,74,19,86,60,32,91,97,23,50,97,27,18,40,76,6,51,26,35,29,95,8,71,44,7,99,50,52,80,84,88,17,40,59,82,51,68,45,34,48,13,23,97,9,48,17,82,38,99,85,86,96,40,32,44,2,66,44,81,80,55,72,86,71,18,39,23,42,17,44,54,22,73,72,16,61,75,78,96,91,56,89,30,12,89
0,4,84,30,38,67,21,71,58,51,13,55,73,70,99,45,77,42,74,19,86,60,32,25,95,20,43,89,38,18,48,76,6,51,26,35,29,95,8,71,44,7,99,50,52,80,84,88,17,40,59,82,51,68,45,95,47,8,65,97,9,48,17,90,59,83,97,86,96,40,32,44,2,66,44,81,80,55,72,92,65,18,39,23,45,17,44,54,22,73,72,46,61,69,78,96,91,56,82,30,32,80
0,5,84,30,38,67,21,71,58,51,13,55,73,70,99,45,77,42,74,19,86,60,32,21,94,36,9,89,38,18,48,76,18,55,32,35,29,95,8,71,44,7,99,50,52,80,84,88,17,40,59,82,51,68,45,95,47,8,65,97,9,48,17,91,59,83,97,66,93,40,32,44,2,66,44,81,80,55,72,92,65,18,39,23,45,0,44,54,22,73,72,46,61,75,79,96,91,56,87,30,32,80
0,6,84,30,38,67,21,71,58,51,13,50,12,64,99,57,61,54,55,19,86,60,32,21,94,36,9,89,38,18,48,76,18,55,32,35,29,95,8,72,43,8,86,58,58,80,92,88,17,40,59,82,51,68,45,90,7,6,65,14,2,48,17,91,59,83,97,66,93,40,32,50,17,69,68,81,80,55,72,92,65,78,39,23,45,0,44,59,27,73,72,46,44,75,79,92,91,56,87,10,38,99
0,7,84,30,38,67,21,71,59,51,13,46,5,63,87,57,61,54,55,19,86,60,32,21,94,36,9,89,38,18,48,76,18,55,32,35,29,95,8,72,43,8,86,58,58,80,92,88,17,40,59,82,51,68,45,99,4,12,65,14,2,48,17,91,59,83,97,66,93,40,32,50,17,69,68,81,80,55,72,92,69,78,39,23,45,0,44,59,27,73,72,58,44,75,79,92,91,46,87,10,38,99
0,8,84,30,38,67,21,71,59,51,13,46,5,63,87,46,72,54,55,4,26,80,32,21,94,36,9,89,38,18,48,76,18,48,32,57,9,95,8,72,43,8,86,58,58,80,92,88,17,40,59,82,51,68,45,89,17,12,65,17,2,8,53,91,59,83,97,66,98,89,32,50,17,69,68,81,80,55,72,92,69,78,39,23,45,0,49,59,27,73,72,58,44,75,79,92,91,46,87,10,32,99
0,9,84,30,38,67,21,71,59,51,13,46,5,63,87,46,72,54,55,4,26,80,32,21,94,28,14,89,26,95,48,76,18,48,32,57,9,95,8,72,43,8,86,58,58,80,92,88,17,40,59,82,51,68,45,89,17,12,65,17,2,8,53,91,47,63,97,66,98,92,32,50,17,69,68,81,80,55,72,92,69,78,39,23,45,0,42,59,27,73,72,58,44,75,78,92,91,46,87,10,38,99
