Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.0,5,6,4,1,2
1,0.0,1,2,1,1,1
2,0.0,3,1,2,3,1
3,0.0,1,2,1,2,2
4,0.0,1,0,1,0,2
5,0.0,1,1,1,3,1
6,0.0,1,0,1,1,3
7,0.0,2,3,3,3,4
8,NaN,0,1,0,0,0
9,0.0,1,0,2,2,0
10,0.0,2,1,1,2,2
11,0.0,3,2,2,2,3
12,0.0,3,4,1,1,3
13,NaN,0,0,0,1,0
14,0.0,3,2,3,2,0
15,0.0,1,1,3,1,2
16,0.0,1,0,3,2,2
17,NaN,0,4,1,3,2
18,0.0,2,0,2,1,1
19,0.0,2,3,2,3,2
20,0.0,2,3,2,4,3
21,0.0,2,0,2,1,0
22,0.0,1,2,1,2,2
23,0.0,2,1,1,2,1
24,0.0,2,0,3,3,2
25,0.0,2,2,2,2,3
26,0.0,2,2,1,0,1
27,0.0,2,4,4,2,1
28,0.0,1,2,0,0,3
29,0.0,1,1,1,1,1
30,0.0,3,2,2,0,2
31,0.0,1,2,3,0,0
32,0.0,4,3,2,5,6
33,0.0,1,2,2,3,3
34,NaN,0,3,2,2,1
35,0.0,1,4,2,0,3
36,0.0,4,3,2,7,3
37,0.0,4,1,2,3,4
38,0.0,2,2,2,0,0
39,0.0,2,0,3,1,0
40,0.0,2,3,4,2,5
41,0.0,2,3,1,4,4
42,0.0,4,3,2,4,2
43,0.0,2,4,5,5,5
44,0.0,4,5,4,5,1
45,0.0,2,2,3,1,1
46,0.0,2,1,2,1,2
47,0.0,1,3,0,3,0
48,0.0,3,2,3,1,4
49,0.0,6,2,3,2,4
