Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139,agent-140,agent-141,agent-142,agent-143,agent-144,agent-145,agent-146,agent-147,agent-148,agent-149,agent-150,agent-151,agent-152,agent-153,agent-154,agent-155,agent-156,agent-157,agent-158,agent-159,agent-160,agent-161,agent-162,agent-163,agent-164,agent-165,agent-166,agent-167,agent-168,agent-169,agent-170,agent-171,agent-172,agent-173,agent-174,agent-175,agent-176,agent-177,agent-178,agent-179,agent-180,agent-181,agent-182,agent-183,agent-184,agent-185,agent-186,agent-187,agent-188,agent-189,agent-190,agent-191,agent-192,agent-193,agent-194,agent-195,agent-196,agent-197,agent-198,agent-199
0,0,16,15,10,16,1,0,0,12,0,24,10,27,28,17,17,20,25,25,15,22,12,7,15,11,25,27,19,1,3,19,17,19,15,12,5,2,3,24,18,4,12,4,5,10,12,11,1,12,27,28,7,26,12,10,11,24,16,13,8,13,10,17,17,19,5,25,22,15,13,27,3,29,20,19,4,22,23,25,23,24,15,3,24,13,29,9,9,17,26,18,23,10,27,7,6,15,4,19,0,6,3,2,17,23,1,22,4,9,20,10,23,14,23,7,29,22,5,12,18,13,24,7,8,13,3,14,6,25,27,4,26,12,5,3,21,22,4,15,0,8,5,29,29,29,13,6,18,15,6,29,4,8,22,21,13,4,19,29,27,5,26,29,28,18,1,1,29,17,22,28,3,16,11,26,0,24,25,28,1,15,2,0,10,9,23,25,25,1,24,25,8,5,11,1,9,7,16,2,24,17
0,1,16,15,10,16,1,0,0,12,0,24,10,27,28,17,17,20,25,25,15,22,12,7,15,11,25,27,19,1,3,19,17,19,15,12,5,2,3,24,18,4,12,22,18,2,0,9,18,9,4,14,18,2,2,23,11,15,3,29,16,3,5,25,4,8,17,6,17,5,17,12,12,17,29,19,4,22,23,25,23,24,15,3,24,13,29,9,9,17,26,18,23,10,27,7,6,15,4,19,0,6,3,2,17,23,1,22,4,9,20,10,23,14,23,7,29,22,5,12,18,13,24,12,20,28,5,2,15,19,16,24,12,8,10,1,22,22,0,15,0,8,5,29,29,29,13,6,18,15,6,29,4,8,22,21,13,4,19,29,27,5,26,27,2,20,9,11,14,27,10,28,3,16,11,26,0,24,25,28,1,15,2,24,25,1,13,25,25,1,24,25,8,5,19,1,9,7,12,2,23,18
0,2,16,15,10,16,1,0,0,12,0,26,10,18,16,21,7,0,27,10,3,6,16,6,10,13,28,12,20,19,23,27,23,28,5,13,10,24,8,9,8,3,23,22,18,2,0,9,18,9,4,14,18,2,2,23,11,15,3,18,26,28,5,4,7,7,0,5,17,16,12,16,5,28,2,19,4,22,23,25,23,24,15,3,24,13,29,9,9,17,26,18,23,10,27,7,6,15,4,19,0,6,3,2,17,23,1,26,29,19,26,13,10,14,29,29,12,6,29,2,14,16,17,12,20,28,5,2,15,19,16,11,18,28,6,8,25,5,5,15,0,8,5,29,29,29,13,6,18,15,6,29,4,8,22,11,6,24,24,11,23,15,3,27,2,20,9,23,5,26,0,28,3,16,11,26,0,24,25,24,25,18,21,24,25,19,10,25,25,1,24,8,6,5,4,1,9,12,20,2,23,17
0,3,16,15,10,16,1,0,0,12,0,26,10,18,16,21,7,0,27,10,3,6,16,6,10,13,28,12,20,19,23,27,23,28,5,13,10,24,8,9,8,3,23,22,18,2,0,9,18,9,4,14,18,2,2,20,7,25,18,16,12,24,18,24,24,27,7,22,16,16,6,4,0,17,17,8,8,21,0,17,25,5,13,0,12,23,6,22,1,18,5,18,23,10,27,7,6,15,4,19,0,6,3,2,17,23,1,26,29,19,26,13,10,14,29,29,12,6,29,2,14,16,17,12,20,28,5,2,15,17,17,17,28,11,9,22,9,7,11,1,4,24,27,4,25,21,23,6,18,15,6,29,4,8,22,11,6,24,24,11,23,15,3,27,2,20,23,9,17,17,23,20,5,26,7,26,0,24,25,24,25,18,21,24,21,14,3,27,25,1,24,8,6,3,24,2,9,12,21,1,12,5
0,4,1,2,5,23,25,3,1,3,25,26,10,18,16,21,7,0,27,10,3,6,16,6,10,13,28,12,20,19,23,27,23,28,5,13,10,24,8,9,8,3,23,22,18,2,0,9,18,9,4,14,18,2,2,20,7,25,18,16,12,24,18,24,24,27,7,22,16,16,6,4,0,17,17,14,4,29,23,26,21,26,15,13,2,9,29,28,8,3,22,18,23,10,27,7,6,15,4,4,10,6,4,15,12,23,18,26,29,19,26,13,10,14,29,29,12,6,29,2,14,16,17,12,20,28,5,2,15,17,17,17,28,11,9,22,9,7,11,9,17,11,15,4,18,5,13,6,18,15,6,15,14,1,26,11,6,24,24,11,23,15,3,27,2,20,23,9,17,17,23,20,8,9,8,26,0,23,26,24,25,18,21,24,21,14,3,27,4,1,1,8,6,3,24,18,9,12,21,1,12,19
0,5,20,18,4,23,6,19,11,4,3,26,10,18,16,21,7,0,27,10,3,6,16,6,10,13,28,12,20,19,23,27,23,28,5,13,10,24,8,9,8,3,23,22,18,2,0,9,18,9,4,14,18,2,2,20,7,25,18,16,12,24,18,24,24,27,7,22,16,16,6,4,0,17,17,14,4,29,23,26,21,26,15,25,7,17,27,26,8,0,16,9,8,9,5,7,6,15,4,15,13,6,21,0,15,23,9,26,29,19,26,13,10,14,29,29,12,6,29,2,14,16,17,12,20,28,5,2,15,17,17,17,28,11,9,22,9,7,11,9,17,11,15,4,6,22,19,3,18,15,6,5,29,8,13,11,6,24,24,11,23,15,3,27,2,20,23,9,17,17,23,20,8,9,28,20,0,22,26,24,25,18,21,24,21,14,3,27,5,21,4,8,6,3,24,7,18,12,21,1,12,1
0,6,20,18,4,23,6,19,11,4,3,26,10,18,16,21,7,0,27,10,3,6,16,6,10,13,28,12,20,19,23,27,23,28,5,22,10,17,21,13,14,11,13,22,18,2,0,9,18,9,4,14,18,2,2,20,7,25,18,16,12,24,18,24,24,27,7,6,8,16,9,23,28,18,17,14,4,29,23,26,21,26,15,25,7,17,27,26,8,0,16,9,8,9,5,7,6,15,4,15,13,6,21,0,15,23,9,26,29,19,26,13,10,14,29,29,12,6,29,2,22,4,21,12,20,28,5,2,15,17,17,17,28,11,9,22,15,18,11,9,17,11,15,4,6,22,19,3,18,15,6,5,29,8,13,11,6,24,24,11,23,6,25,27,2,20,23,9,17,21,23,20,8,9,28,20,0,22,26,24,25,18,14,24,21,14,10,27,5,21,4,8,18,3,13,7,18,18,1,1,2,21
0,7,20,18,4,23,6,19,11,4,3,26,10,18,16,21,7,0,27,10,3,6,16,6,10,13,28,12,20,19,23,27,23,28,5,22,10,17,21,13,14,11,13,18,9,8,16,9,18,9,4,14,18,29,17,20,7,25,18,16,12,24,18,24,24,27,7,8,5,16,27,23,28,18,17,14,4,29,23,26,21,26,15,25,7,17,27,26,8,0,16,9,8,16,24,18,21,12,4,15,13,6,21,0,15,23,9,26,29,19,26,13,10,14,29,29,12,6,29,2,22,4,21,12,10,28,5,2,10,9,17,17,28,11,9,18,25,18,11,9,17,11,15,4,6,22,19,3,28,4,6,5,29,8,13,11,6,24,24,11,23,6,25,27,2,4,23,9,17,22,23,20,8,9,28,11,0,22,26,24,25,18,14,23,13,14,14,27,5,29,4,8,18,2,21,7,18,18,13,1,2,17
0,8,20,18,4,23,6,19,11,4,3,26,10,18,16,27,8,0,20,10,3,6,16,6,10,13,28,5,28,29,29,5,22,28,22,22,10,15,16,13,14,11,13,18,9,8,16,9,18,9,4,14,18,29,17,20,7,25,18,16,12,24,18,24,24,27,7,8,5,16,27,23,28,18,17,14,4,29,23,26,21,26,15,25,7,17,27,26,8,0,16,9,8,16,24,18,21,12,4,15,13,6,21,0,15,23,9,26,29,20,10,13,10,14,29,5,7,27,10,2,6,4,21,12,10,28,5,2,10,9,17,17,28,11,9,18,25,18,11,9,17,11,15,4,6,22,19,3,28,4,6,5,29,8,13,11,14,24,24,11,20,6,25,27,2,4,23,9,17,22,23,20,8,9,28,11,0,22,26,24,25,25,14,23,13,14,14,27,5,29,4,28,18,2,21,7,18,18,13,1,4,17
0,9,20,18,4,23,6,19,11,4,3,26,10,18,16,27,8,0,20,10,3,6,16,6,10,13,28,5,28,29,29,5,22,28,22,22,10,15,16,13,14,11,13,18,9,8,16,9,18,9,4,14,18,29,17,20,7,25,18,16,12,24,18,24,24,27,7,8,5,16,27,23,28,18,17,23,3,29,5,26,21,4,7,29,28,5,27,15,17,0,19,9,8,16,24,18,21,12,4,15,13,6,21,0,15,23,9,26,29,20,10,13,10,14,29,5,7,27,10,2,6,4,21,12,10,28,5,2,10,9,17,17,28,11,9,18,25,18,11,14,22,11,15,4,6,14,10,3,28,4,6,5,29,8,13,11,14,24,24,11,20,6,25,27,2,4,23,9,17,22,23,7,9,5,12,11,0,22,26,24,25,25,14,23,13,14,14,27,26,29,4,28,18,2,21,18,18,18,13,1,4,17
