Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5
0,0,4,1,2,4,3,1
0,1,3,0,2,1,0,5
0,2,5,0,2,1,0,4
0,3,5,0,5,1,0,4
0,4,5,0,5,1,0,5
0,5,5,2,3,1,0,4
0,6,5,2,3,1,0,5
0,7,5,2,3,1,0,4
0,8,5,2,4,2,0,4
0,9,5,2,4,2,0,4
0,10,5,2,4,2,0,5
0,11,5,2,4,1,0,4
0,12,5,2,4,1,0,5
0,13,5,2,4,1,0,5
0,14,5,2,4,1,0,5
0,15,5,2,4,1,0,4
0,16,5,2,4,1,0,4
0,17,5,0,4,1,0,5
0,18,5,0,4,1,0,5
0,19,5,0,4,1,0,5
0,20,5,0,5,1,0,5
0,21,5,2,5,2,0,4
0,22,5,2,5,1,0,4
0,23,5,2,5,2,0,4
0,24,5,2,4,2,0,5
0,25,5,2,4,2,0,4
0,26,5,0,3,2,0,5
0,27,5,0,3,2,0,4
0,28,5,0,3,2,0,5
0,29,5,0,3,2,0,5
0,30,5,0,3,2,0,5
0,31,5,0,3,1,0,4
0,32,5,0,3,2,0,5
0,33,5,0,3,2,0,4
0,34,5,0,3,2,0,4
0,35,5,0,3,2,0,5
0,36,5,0,3,2,0,4
0,37,5,0,3,2,0,5
0,38,5,0,3,1,0,5
0,39,5,2,3,1,0,5
1,0,3,0,4,1,1,2
1,1,0,5,5,2,1,1
1,2,0,5,5,2,4,2
1,3,0,5,5,2,4,1
1,4,0,5,5,2,4,2
1,5,0,3,5,0,4,2
1,6,0,5,5,2,5,2
1,7,0,5,5,0,5,2
1,8,0,5,5,0,5,1
1,9,0,5,5,0,5,2
1,10,0,5,5,0,5,1
1,11,0,5,5,0,4,2
1,12,0,5,5,2,4,1
1,13,0,5,5,2,4,1
1,14,0,3,5,0,5,2
1,15,0,3,5,0,5,2
1,16,0,3,5,0,5,1
1,17,0,3,5,2,5,1
1,18,0,3,5,2,5,2
1,19,0,4,5,2,5,2
1,20,0,4,5,2,5,1
1,21,0,4,5,2,5,1
1,22,0,4,5,2,5,2
1,23,0,5,5,0,5,1
1,24,0,4,5,0,4,1
1,25,0,4,5,0,4,1
1,26,0,4,5,0,5,2
1,27,0,4,5,0,5,2
1,28,0,4,5,0,5,1
1,29,0,4,5,0,5,2
1,30,0,4,5,2,4,2
1,31,0,4,5,2,4,2
1,32,0,4,5,2,4,2
1,33,0,5,5,2,5,1
1,34,0,5,5,2,4,1
1,35,0,5,5,2,4,1
1,36,0,5,5,0,4,2
1,37,0,5,5,0,4,2
1,38,0,5,5,0,4,2
1,39,0,3,5,2,4,2
2,0,3,3,2,0,5,1
2,1,2,0,0,0,5,5
2,2,2,0,5,0,5,4
2,3,2,0,5,0,5,5
2,4,2,0,5,0,5,5
2,5,2,0,5,0,5,5
2,6,2,0,3,0,5,4
2,7,2,0,3,0,5,5
2,8,2,0,3,0,5,4
2,9,2,0,3,0,5,5
2,10,2,0,3,0,5,5
2,11,2,0,3,0,5,5
2,12,2,0,3,0,5,4
2,13,2,0,3,2,5,4
2,14,2,0,3,2,5,4
2,15,2,0,3,2,5,4
2,16,2,0,5,2,5,5
2,17,2,0,5,2,5,4
2,18,2,0,5,0,5,4
2,19,2,0,5,0,5,5
2,20,2,0,5,0,5,4
2,21,2,0,5,2,5,5
2,22,2,0,5,0,5,5
2,23,2,0,5,0,5,4
2,24,2,0,5,0,5,5
2,25,2,0,5,0,5,4
2,26,2,0,4,0,5,4
2,27,2,0,4,0,5,5
2,28,2,0,4,2,5,4
2,29,1,0,4,0,5,5
2,30,1,0,4,2,5,5
2,31,1,0,5,2,5,5
2,32,1,0,5,2,5,5
2,33,1,0,5,2,5,5
2,34,1,0,4,0,5,4
2,35,1,0,4,0,5,4
2,36,1,0,4,0,5,4
2,37,1,0,4,0,5,5
2,38,1,0,4,0,5,4
2,39,1,0,4,0,5,4
3,0,1,1,3,5,5,0
3,1,1,2,0,5,1,5
3,2,4,2,0,5,2,5
3,3,4,2,0,5,2,4
3,4,5,2,0,5,2,4
3,5,5,0,0,5,2,3
3,6,5,0,0,5,2,4
3,7,5,0,0,5,2,5
3,8,5,0,0,5,2,5
3,9,5,0,0,5,1,3
3,10,5,0,0,5,1,5
3,11,5,2,0,5,1,3
3,12,5,2,0,5,1,3
3,13,5,0,0,5,2,3
3,14,5,0,0,5,2,3
3,15,4,0,0,5,2,4
3,16,4,0,0,5,2,5
3,17,4,0,0,5,2,4
3,18,4,2,0,5,1,3
3,19,4,2,0,5,1,5
3,20,4,2,0,5,1,4
3,21,4,2,0,5,1,5
3,22,4,2,0,5,1,3
3,23,5,2,0,5,1,5
3,24,5,0,0,5,1,3
3,25,5,2,0,5,1,4
3,26,5,2,0,5,2,3
3,27,4,2,0,5,2,5
3,28,4,2,0,5,2,3
3,29,4,0,0,5,2,3
3,30,4,0,0,5,2,3
3,31,5,0,0,5,2,4
3,32,5,0,0,5,2,3
3,33,5,0,0,5,2,5
3,34,5,0,0,5,1,5
3,35,5,0,0,5,1,4
3,36,4,0,0,5,2,4
3,37,4,0,0,5,2,5
3,38,4,0,0,5,1,4
3,39,4,0,0,5,1,5
4,0,2,3,1,3,2,0
4,1,4,1,1,5,4,0
4,2,5,1,2,5,3,0
4,3,4,1,2,5,4,0
4,4,4,1,2,5,4,0
4,5,4,2,2,5,5,0
4,6,4,1,2,5,4,0
4,7,4,2,2,5,5,0
4,8,4,1,2,5,4,0
4,9,4,1,2,5,4,0
4,10,4,2,2,5,5,0
4,11,4,2,2,5,5,0
4,12,4,2,2,5,5,0
4,13,4,2,2,5,5,0
4,14,4,2,2,5,5,0
4,15,4,2,2,5,5,0
4,16,4,2,2,5,5,0
4,17,4,2,0,5,3,0
4,18,4,2,0,5,3,0
4,19,4,2,0,5,5,0
4,20,4,2,0,5,5,0
4,21,4,1,0,5,5,0
4,22,4,1,0,5,5,0
4,23,4,1,2,5,4,0
4,24,4,1,2,5,4,0
4,25,4,1,2,5,4,0
4,26,4,1,2,5,4,0
4,27,4,1,2,5,4,0
4,28,4,1,2,5,4,0
4,29,4,1,2,5,4,0
4,30,4,1,0,5,5,0
4,31,4,2,2,5,4,0
4,32,4,1,2,5,3,0
4,33,4,1,0,5,5,0
4,34,4,1,0,5,5,0
4,35,5,1,0,5,5,0
4,36,5,1,0,5,5,0
4,37,5,1,0,5,4,0
4,38,5,1,0,5,4,0
4,39,5,1,0,5,4,0
