Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9
0,0,2,4,2,0,0,4,3,4,4,1
0,1,0,3,2,3,2,5,3,4,1,2
0,2,0,3,2,4,2,5,3,5,1,2
0,3,0,3,2,4,2,5,3,5,1,2
0,4,0,3,2,4,2,5,3,5,1,2
0,5,0,3,2,4,2,5,3,5,1,2
0,6,0,3,2,4,2,5,3,5,1,2
0,7,0,3,2,4,2,5,3,5,1,2
0,8,0,3,2,5,2,5,3,4,1,2
0,9,0,3,2,5,2,5,3,5,1,2
0,10,0,3,2,5,2,5,3,5,1,2
0,11,0,3,2,5,2,5,3,5,1,2
0,12,0,3,2,5,2,5,3,5,1,2
0,13,0,3,2,5,2,5,3,5,1,2
0,14,0,3,2,5,2,5,3,5,1,2
0,15,0,3,2,5,2,5,3,5,1,2
0,16,0,3,2,5,2,5,3,4,1,2
0,17,0,3,2,5,2,5,3,4,1,2
0,18,0,3,2,5,2,5,3,4,1,2
0,19,0,3,2,4,2,5,3,4,1,2
0,20,0,3,2,4,2,5,3,4,1,2
0,21,0,3,2,5,2,5,3,4,1,2
0,22,0,3,2,4,2,5,3,4,1,2
0,23,0,3,2,4,2,5,3,4,1,2
0,24,0,3,2,4,2,5,3,4,1,2
0,25,0,3,2,4,2,5,3,5,1,2
0,26,0,3,2,4,2,5,3,5,1,2
0,27,0,3,1,4,2,5,3,5,1,2
0,28,0,3,1,5,2,5,3,5,1,2
0,29,0,3,1,5,2,5,3,4,1,2
0,30,0,3,1,5,2,5,3,4,1,2
0,31,0,3,1,5,2,5,3,5,1,2
0,32,0,3,2,5,2,5,3,4,1,2
0,33,0,3,2,5,2,5,3,5,1,2
0,34,0,3,2,5,2,5,3,5,1,2
0,35,0,3,2,5,2,5,3,4,1,2
0,36,0,3,1,5,2,5,3,4,1,2
0,37,0,3,1,5,2,5,3,5,1,2
0,38,0,3,1,5,2,5,3,5,1,2
0,39,0,3,1,5,2,5,3,5,1,2
1,0,3,0,5,5,0,0,2,1,3,5
1,1,3,1,5,1,2,2,1,3,3,4
1,2,4,1,5,1,2,1,1,4,3,5
1,3,4,1,5,1,2,1,1,4,5,5
1,4,4,1,5,1,2,1,1,4,5,5
1,5,4,1,5,1,2,1,1,4,5,5
1,6,4,1,5,1,2,1,1,4,5,5
1,7,4,1,5,1,2,1,1,4,5,5
1,8,4,1,5,1,2,1,1,5,5,5
1,9,4,1,5,1,2,1,1,5,5,5
1,10,4,1,5,1,2,1,1,4,3,5
1,11,4,1,5,1,2,1,1,5,3,5
1,12,4,1,5,1,2,1,1,5,3,5
1,13,4,1,5,1,2,1,1,4,3,5
1,14,4,1,5,1,2,1,1,4,3,5
1,15,4,1,4,1,2,2,1,4,3,5
1,16,4,1,4,1,2,2,1,4,3,5
1,17,4,1,4,1,2,2,1,4,3,5
1,18,4,1,4,1,2,1,1,4,5,5
1,19,4,1,4,1,2,1,1,4,5,5
1,20,4,1,4,1,2,1,1,4,5,5
1,21,4,1,4,1,2,1,1,5,5,5
1,22,4,1,4,1,2,2,1,4,5,5
1,23,4,1,4,1,2,1,1,4,5,5
1,24,4,1,4,1,2,1,1,4,3,5
1,25,4,1,4,1,2,1,1,4,3,5
1,26,4,1,4,1,2,1,1,4,3,5
1,27,4,1,4,1,2,2,1,4,3,5
1,28,4,1,4,1,2,2,1,4,3,5
1,29,4,1,4,1,2,2,1,5,3,5
1,30,4,1,4,1,2,2,1,5,3,5
1,31,4,1,4,1,2,2,1,4,3,5
1,32,4,1,4,1,2,2,1,4,3,5
1,33,4,1,4,1,2,2,1,4,3,5
1,34,4,1,4,1,2,2,1,4,3,5
1,35,4,1,4,1,2,2,1,5,5,5
1,36,4,1,4,1,2,2,1,5,5,5
1,37,4,1,4,1,2,1,1,4,5,5
1,38,4,1,4,1,2,1,1,4,5,5
1,39,4,1,4,1,2,1,1,4,5,5
2,0,4,0,4,0,3,5,0,0,1,5
2,1,4,1,5,0,3,1,2,3,1,5
2,2,4,1,5,0,4,1,2,3,1,5
2,3,4,1,5,0,4,1,2,3,1,5
2,4,4,1,5,0,4,1,2,3,1,3
2,5,4,1,5,0,4,1,2,3,1,3
2,6,4,1,5,0,4,1,2,3,1,5
2,7,4,1,5,0,4,1,2,3,1,5
2,8,4,1,5,0,4,1,2,3,1,3
2,9,4,1,5,0,4,1,2,3,1,5
2,10,4,1,5,0,4,1,2,3,1,3
2,11,5,1,5,0,4,1,2,3,1,3
2,12,5,1,5,0,4,1,2,3,1,3
2,13,5,1,5,0,4,1,2,3,1,5
2,14,5,1,5,0,4,1,2,3,1,5
2,15,5,1,5,0,4,1,2,3,1,3
2,16,5,1,5,0,4,1,2,3,1,3
2,17,5,1,5,0,4,1,2,3,1,3
2,18,5,1,5,0,4,1,2,3,1,3
2,19,5,1,5,0,4,1,2,3,1,5
2,20,5,1,5,0,4,1,2,3,1,3
2,21,5,1,5,0,4,1,2,3,1,5
2,22,5,1,5,0,4,1,2,3,1,3
2,23,5,1,5,0,4,1,2,3,1,3
2,24,5,1,5,0,4,1,2,3,1,5
2,25,5,1,5,0,4,1,2,3,1,3
2,26,5,1,5,0,4,1,2,3,1,3
2,27,5,1,5,0,4,1,2,3,1,3
2,28,5,1,5,0,4,1,2,3,1,3
2,29,4,1,5,0,4,1,2,3,1,5
2,30,4,1,5,0,4,1,2,3,1,5
2,31,5,1,5,0,4,1,2,3,1,5
2,32,5,1,5,0,4,1,2,3,1,5
2,33,5,1,5,0,4,1,2,3,1,5
2,34,5,1,5,0,4,1,2,3,1,5
2,35,5,1,5,0,4,1,2,3,1,5
2,36,5,1,5,0,4,1,2,3,1,3
2,37,5,1,5,0,4,1,2,3,1,3
2,38,5,1,5,0,4,1,2,3,1,5
2,39,5,1,5,0,4,1,2,3,1,3
3,0,1,5,0,1,2,0,4,5,4,3
3,1,2,1,1,1,0,5,3,4,5,3
3,2,2,1,2,1,0,5,5,5,5,3
3,3,2,1,2,1,0,4,3,4,5,3
3,4,2,1,2,1,0,4,3,4,5,3
3,5,2,1,2,1,0,4,3,4,5,3
3,6,2,1,2,2,0,4,3,5,5,3
3,7,2,1,2,2,0,4,3,5,5,3
3,8,2,1,2,2,0,4,3,4,5,3
3,9,2,1,2,2,0,4,3,4,5,3
3,10,2,1,2,2,0,4,5,4,5,3
3,11,2,1,2,2,0,4,5,4,5,3
3,12,2,1,2,2,0,4,5,4,5,3
3,13,2,1,2,2,0,4,5,4,5,3
3,14,2,1,2,2,0,4,5,4,5,3
3,15,2,1,2,2,0,4,5,4,5,3
3,16,2,1,2,2,0,4,5,5,5,3
3,17,2,1,2,2,0,4,5,5,5,3
3,18,2,1,2,2,0,4,5,5,5,3
3,19,2,1,2,2,0,4,5,5,5,3
3,20,2,1,2,1,0,4,3,5,5,3
3,21,2,1,2,1,0,4,3,4,5,3
3,22,2,1,2,1,0,4,3,4,5,3
3,23,2,1,2,1,0,4,3,4,5,3
3,24,2,1,2,1,0,4,3,4,5,3
3,25,2,1,2,1,0,4,3,5,5,3
3,26,2,1,2,1,0,4,3,5,5,3
3,27,2,1,2,1,0,4,3,5,5,3
3,28,2,1,2,1,0,4,3,5,5,3
3,29,2,1,2,1,0,5,3,5,5,3
3,30,2,1,2,1,0,5,3,4,5,3
3,31,2,1,2,1,0,5,3,4,5,3
3,32,2,1,2,1,0,4,5,5,5,3
3,33,2,1,2,1,0,4,5,5,5,3
3,34,2,1,2,1,0,4,5,4,5,3
3,35,2,1,2,1,0,4,5,4,5,3
3,36,2,1,2,1,0,4,5,4,5,3
3,37,2,1,2,1,0,4,3,4,5,3
3,38,2,1,2,1,0,4,3,4,5,3
3,39,2,1,2,1,0,4,3,5,5,3
4,0,2,2,5,4,1,2,3,5,5,1
4,1,3,1,1,5,2,1,4,5,4,1
4,2,5,1,1,5,2,2,4,5,5,1
4,3,5,1,1,5,2,2,4,5,5,1
4,4,5,1,1,5,2,2,4,5,5,1
4,5,5,1,1,5,2,2,4,5,5,1
