Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19
0,0,78,36,4,73,8,83,38,10,72,53,87,81,58,89,66,93,28,26,56,47
0,1,8,32,4,97,79,13,48,10,12,83,67,48,54,89,0,94,16,21,26,97
0,2,58,37,0,93,39,13,50,10,2,13,57,71,54,89,36,94,44,21,86,97
0,3,28,35,14,97,39,63,68,10,92,13,47,13,58,39,20,94,94,21,86,67
0,4,28,37,14,97,98,63,70,10,62,13,97,68,54,39,40,94,96,21,86,67
0,5,28,37,8,97,99,63,70,10,62,3,97,61,58,39,40,94,96,21,86,67
0,6,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,7,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,8,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,9,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,10,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,11,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,12,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,13,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,14,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,15,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,16,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,17,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,18,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,19,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,20,28,37,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,21,28,35,10,97,99,63,70,10,62,3,97,91,58,39,40,94,96,21,86,67
0,22,28,35,10,97,99,63,70,10,62,3,97,91,58,39,40,94,94,21,86,67
0,23,28,35,50,97,99,63,70,10,62,3,97,91,54,39,40,94,96,21,86,67
0,24,28,35,50,97,99,63,70,10,62,3,97,91,54,39,40,94,96,21,86,67
0,25,28,35,50,97,99,63,70,10,62,3,97,91,54,39,40,94,96,21,86,67
0,26,28,35,50,97,99,63,70,10,62,3,97,91,54,39,40,94,96,21,86,67
0,27,28,35,50,97,99,63,70,10,62,3,97,91,54,39,40,94,96,21,86,67
0,28,28,35,50,97,99,63,70,10,62,3,97,91,54,39,40,94,96,21,86,67
0,29,28,35,50,97,98,63,70,10,62,3,97,91,54,39,40,94,94,21,86,67
0,30,28,35,50,97,98,63,70,10,62,3,97,91,54,39,40,94,94,21,86,67
0,31,28,35,50,97,98,63,70,10,62,3,97,91,54,39,40,94,94,21,86,67
0,32,28,35,50,97,98,63,70,10,62,3,97,91,54,39,40,94,94,21,86,67
0,33,28,35,50,97,98,63,70,10,62,3,97,91,54,39,40,94,94,21,86,67
0,34,28,35,50,97,98,63,70,10,62,3,97,91,54,39,40,94,94,21,86,67
0,35,28,35,50,97,98,63,70,10,62,3,97,91,54,39,40,94,94,21,86,67
0,36,28,35,50,97,98,63,70,10,62,3,97,91,54,39,40,94,94,21,86,67
0,37,28,35,50,97,98,63,70,10,62,3,97,91,54,39,40,94,94,21,86,67
0,38,28,35,50,97,98,63,70,10,62,3,97,91,54,39,40,94,94,21,86,67
0,39,28,35,50,97,99,63,70,10,62,3,97,91,54,39,40,94,94,21,86,67
1,0,18,26,30,93,81,80,52,72,10,54,66,87,53,75,8,77,28,35,56,42
1,1,0,21,10,95,48,89,47,12,10,54,0,67,23,8,79,97,16,35,29,63
1,2,0,21,68,94,71,80,97,2,10,54,0,57,13,58,38,97,46,37,86,63
1,3,4,21,90,94,18,39,77,92,10,58,20,47,13,28,38,93,96,35,86,63
1,4,54,21,78,94,61,39,67,62,10,58,40,94,13,28,99,97,94,32,86,63
1,5,0,21,78,94,61,39,67,62,10,58,40,94,13,28,99,93,94,32,86,63
1,6,0,21,78,94,61,39,67,62,10,58,40,97,3,28,99,93,94,32,86,63
1,7,0,21,78,94,98,39,67,62,10,58,40,97,3,28,99,93,96,32,86,63
1,8,0,21,78,94,98,39,67,62,10,58,40,97,3,28,99,93,96,32,86,63
1,9,0,21,78,94,98,39,67,62,10,58,40,97,3,28,99,93,96,32,86,63
1,10,0,21,78,94,98,39,67,62,10,58,40,97,3,28,99,93,96,32,86,63
1,11,0,21,78,94,98,39,67,62,10,58,40,97,3,28,99,93,96,32,86,63
1,12,0,21,78,94,98,39,67,62,10,58,40,97,3,28,99,93,96,32,86,63
1,13,0,21,78,94,98,39,67,62,10,58,40,97,3,28,99,93,96,32,86,63
1,14,0,21,78,94,98,39,67,62,10,58,46,97,3,28,99,93,96,32,86,63
1,15,0,21,78,94,98,39,67,62,10,58,46,97,3,28,99,93,96,32,86,63
1,16,0,21,78,94,98,39,67,62,10,58,46,97,3,28,99,93,96,32,86,63
1,17,0,21,78,94,98,39,67,62,10,58,46,97,3,28,98,93,96,32,86,63
1,18,0,21,78,94,98,39,67,62,10,58,46,97,3,28,98,93,96,32,86,63
1,19,0,21,78,94,98,39,67,62,10,58,46,97,3,28,98,93,96,32,86,63
1,20,0,21,78,94,98,39,67,62,10,58,46,97,3,28,98,93,96,32,86,63
1,21,0,21,78,94,98,39,67,62,10,58,46,97,3,28,98,93,96,32,86,63
