Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,NaN,0,0,0,1,1
1,NaN,0,0,0,0,0
2,NaN,0,0,0,0,0
3,NaN,0,0,0,0,0
4,0.0,2,1,0,1,0
5,NaN,0,0,1,0,0
6,NaN,0,1,1,0,0
7,0.0,1,1,1,1,1
8,NaN,0,0,1,0,1
9,0.0,1,1,0,1,1
10,0.0,1,1,1,1,0
11,NaN,0,0,0,0,0
12,NaN,0,0,0,0,1
13,NaN,0,0,0,0,0
14,NaN,0,0,0,0,0
15,0.0,1,2,1,2,1
16,0.0,1,0,1,0,0
17,NaN,0,0,0,0,0
18,NaN,0,0,0,0,0
19,NaN,0,0,0,0,1
20,0.0,1,0,0,0,0
21,NaN,0,1,0,1,1
22,NaN,0,1,1,1,1
23,NaN,0,1,1,1,1
24,NaN,0,0,0,0,0
25,0.0,1,0,0,0,0
26,0.0,2,1,2,1,1
27,NaN,0,0,0,0,0
28,NaN,0,0,0,0,0
29,NaN,0,0,0,0,0
30,NaN,0,0,1,0,0
31,0.0,1,1,0,0,2
32,0.0,2,0,0,1,1
33,0.0,1,1,1,1,1
34,NaN,0,1,1,1,0
35,NaN,0,0,1,0,0
36,0.0,1,2,0,1,0
37,NaN,0,0,0,0,0
38,NaN,0,0,1,1,1
39,NaN,0,0,0,0,0
40,NaN,0,0,0,0,0
41,NaN,0,0,0,0,0
42,0.0,1,0,1,1,2
43,NaN,0,0,0,1,0
44,0.0,2,1,0,1,0
45,NaN,0,0,1,0,0
46,NaN,0,0,0,0,0
47,NaN,0,2,1,0,1
48,NaN,0,0,0,0,0
49,NaN,0,0,0,0,0
50,NaN,0,0,0,0,0
51,NaN,0,0,0,0,0
52,NaN,0,0,1,1,0
53,NaN,0,0,0,0,0
54,0.0,1,1,1,2,1
55,NaN,0,0,0,0,0
56,NaN,0,0,0,0,0
57,0.0,1,1,0,0,1
58,0.0,1,0,0,0,0
59,NaN,0,1,1,0,1
60,NaN,0,1,0,0,0
61,NaN,0,1,2,0,2
62,0.0,1,0,0,0,0
63,0.0,1,0,1,1,0
64,NaN,0,1,1,0,0
65,NaN,0,1,0,1,0
66,0.0,2,0,0,1,1
67,NaN,0,0,0,0,0
68,0.0,1,1,1,2,1
69,NaN,0,0,0,0,1
70,NaN,0,1,0,1,0
71,NaN,0,0,0,0,0
72,NaN,0,0,0,0,0
73,NaN,0,0,0,0,0
74,NaN,0,1,1,1,0
75,NaN,0,0,0,0,0
76,0.0,1,1,1,1,1
77,0.0,1,0,0,1,0
78,0.0,2,1,2,0,3
79,NaN,0,0,0,0,0
80,NaN,0,0,0,0,0
81,NaN,0,0,0,0,0
82,0.0,1,0,0,0,0
83,NaN,0,1,0,0,1
84,NaN,0,0,0,0,0
85,NaN,0,0,0,0,0
86,NaN,0,0,0,0,0
87,NaN,0,0,0,0,0
88,NaN,0,0,0,0,0
89,NaN,0,0,1,1,0
90,0.0,1,2,2,2,3
91,0.0,2,0,0,0,0
92,NaN,0,2,0,1,1
93,0.0,1,1,0,1,0
94,0.0,1,1,1,1,0
95,0.0,1,0,1,0,0
96,0.0,1,0,1,0,0
97,NaN,0,0,0,0,1
98,0.0,1,1,3,2,2
99,NaN,0,1,0,1,1
