Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39
0,0,19,38,17,81,3,92,38,98,95,89,68,32,99,37,4,86,13,8,61,9,31,6,98,45,12,33,94,67,6,43,51,69,56,76,47,23,77,79,62,18
0,1,87,39,12,54,73,59,40,99,87,80,49,50,93,32,6,88,8,3,26,4,31,86,94,25,95,30,94,69,2,5,52,6,46,70,15,28,72,77,62,44
0,2,30,33,9,1,60,72,88,90,87,80,49,50,93,32,6,88,8,7,91,24,37,83,96,95,34,30,94,69,2,93,58,13,76,70,15,28,77,77,64,41
0,3,30,33,4,99,30,72,88,95,3,80,28,60,96,32,86,82,93,7,91,24,37,46,46,95,33,38,91,64,2,93,58,42,76,78,27,28,78,77,64,56
0,4,54,33,0,94,30,72,58,95,4,80,28,60,96,32,86,82,93,7,36,74,57,66,46,15,39,38,91,64,2,73,68,46,76,78,27,26,79,77,42,56
0,5,54,33,0,94,30,82,68,95,2,80,28,60,96,32,86,57,93,7,36,74,57,66,46,15,34,39,91,64,1,73,68,46,76,70,67,28,79,78,42,51
0,6,40,33,42,94,30,82,68,95,74,80,78,65,96,52,96,57,93,7,36,74,57,36,46,15,34,35,91,64,1,63,68,36,76,78,67,26,79,77,32,56
0,7,40,33,42,44,90,82,68,95,74,30,78,65,96,52,96,57,93,7,36,54,77,36,56,15,36,39,91,0,1,63,68,36,76,78,97,56,59,77,32,56
0,8,40,33,42,44,90,82,98,95,45,30,78,65,96,72,26,57,93,7,36,54,77,36,56,15,66,35,91,0,1,63,68,36,66,78,97,58,59,78,32,71
0,9,40,33,42,44,90,82,98,95,45,49,78,65,96,72,26,57,93,7,36,54,77,26,16,15,66,32,91,0,91,63,68,76,66,70,97,56,29,78,34,76
0,10,90,33,42,44,90,82,98,95,45,9,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,32,90,4,91,63,68,76,66,70,97,58,29,78,34,36
0,11,90,33,42,44,20,82,98,95,45,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,35,90,4,91,63,68,76,66,70,97,56,9,78,34,31
0,12,90,33,42,44,20,82,98,95,45,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,35,90,4,91,63,68,76,66,70,97,56,9,78,34,31
0,13,90,33,42,44,20,82,98,95,45,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,35,90,4,91,63,68,76,66,70,97,56,9,78,32,31
0,14,90,33,42,44,20,82,98,95,45,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,35,90,4,91,63,68,76,66,70,97,56,9,78,32,36
0,15,90,33,42,44,20,82,98,95,45,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,35,90,4,91,63,68,76,66,70,97,56,9,78,32,31
0,16,90,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,92,7,36,54,77,26,16,15,66,35,90,4,91,63,68,76,66,78,97,56,9,78,32,31
0,17,90,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,92,7,36,54,77,26,16,15,66,35,90,4,91,63,68,76,66,78,97,56,9,78,32,36
0,18,90,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,35,91,4,91,63,68,76,66,78,93,56,9,78,34,31
0,19,90,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,35,91,4,91,63,68,76,66,78,97,56,9,77,32,36
0,20,94,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,35,91,4,91,63,68,76,66,78,97,58,9,77,32,31
0,21,94,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,35,91,4,91,63,68,76,66,78,97,58,9,77,34,31
0,22,94,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,35,91,4,91,63,68,76,66,78,97,58,9,77,32,31
0,23,94,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,35,91,4,91,63,68,76,66,78,97,58,9,77,32,31
0,24,94,33,42,44,20,82,98,95,44,10,4,25,96,62,26,57,93,7,36,54,77,26,16,15,66,35,91,4,91,63,68,76,66,78,91,58,9,77,32,36
