Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49
0,0,17,31,17,91,57,78,6,38,75,96,66,61,99,94,79,83,28,65,9,36,87,67,45,92,29,89,10,84,80,69,56,25,81,51,87,79,67,18,78,18,29,79,5,3,3,39,36,58,6,55
0,1,83,39,12,89,97,82,86,31,51,91,96,69,90,95,71,86,57,61,9,57,84,23,48,18,22,27,16,81,87,71,51,25,5,53,23,78,65,16,71,42,69,71,1,8,12,79,86,71,5,95
0,2,37,33,16,89,97,82,86,31,51,91,96,69,90,95,71,86,57,61,9,8,84,97,42,20,21,22,18,81,87,71,51,25,5,53,23,41,67,12,77,42,69,71,1,1,43,79,86,38,5,65
0,3,37,33,16,83,17,92,76,30,17,23,86,94,97,20,71,81,16,61,9,8,84,97,42,20,21,22,18,86,81,58,50,95,75,52,23,41,67,12,77,52,66,79,1,1,43,11,39,38,2,40
0,4,37,33,22,83,17,92,76,30,17,23,86,99,97,23,41,81,12,8,79,47,84,97,63,70,28,21,12,86,81,58,50,95,48,54,73,41,65,12,1,52,66,91,89,78,48,11,16,48,5,40
0,5,37,33,22,3,7,32,66,39,91,51,76,41,97,29,31,81,12,8,79,47,84,97,63,70,28,21,12,83,81,89,50,55,45,54,73,41,65,12,1,52,53,91,89,78,48,11,30,48,2,40
0,6,57,33,2,3,7,32,66,39,91,51,76,41,97,20,31,81,42,18,79,47,84,77,63,70,32,31,12,83,81,89,50,55,45,56,93,41,66,10,7,52,53,81,81,26,38,11,41,48,2,40
0,7,57,33,2,1,7,32,66,30,91,51,6,41,97,20,31,81,42,18,79,47,84,77,63,70,32,31,12,89,81,89,50,55,45,52,33,41,66,10,7,82,36,81,89,26,38,43,41,48,5,40
0,8,57,33,2,1,7,32,66,29,91,56,6,81,77,20,1,81,42,18,79,47,84,77,63,70,32,31,12,89,81,89,50,15,45,52,33,41,66,10,7,82,36,61,81,26,38,43,51,48,2,40
0,9,47,33,2,1,7,32,46,29,91,6,6,81,77,20,1,81,42,18,79,87,84,47,63,70,32,36,12,89,81,89,50,15,45,52,33,51,66,10,7,82,33,61,81,26,38,43,51,48,5,40
0,10,47,33,2,1,7,22,46,29,91,1,46,81,77,20,1,81,42,18,79,87,84,47,63,70,32,36,12,89,81,89,59,75,45,52,33,51,66,10,7,82,36,61,81,26,38,41,51,48,2,40
0,11,47,33,2,1,7,22,46,29,91,1,46,81,77,20,1,81,42,18,79,27,84,47,63,70,32,36,12,89,81,89,59,75,45,52,33,51,64,10,7,82,36,61,81,26,38,41,51,28,2,40
0,12,47,33,2,1,87,22,46,99,67,1,26,11,73,20,1,81,42,73,59,27,24,47,63,70,32,36,12,83,81,89,55,85,15,12,33,51,64,10,7,92,36,61,91,26,38,41,51,28,2,80
0,13,97,33,42,1,87,22,46,50,61,1,26,21,73,70,1,81,92,28,59,27,24,47,63,70,82,36,14,83,81,89,55,85,15,12,33,51,64,13,57,92,33,61,99,26,38,96,51,28,2,80
0,14,97,33,42,1,87,22,46,53,61,86,26,31,73,70,1,81,92,28,59,27,24,47,63,70,82,36,14,89,81,89,59,85,15,12,43,51,64,13,57,2,36,21,91,26,38,96,21,28,7,80
0,15,97,33,42,1,87,22,46,53,61,86,26,31,73,70,1,81,92,28,59,27,24,47,3,30,72,36,12,89,81,89,59,85,15,12,43,51,11,14,57,2,36,21,91,26,38,96,21,28,7,80
0,16,97,33,42,3,67,22,46,83,61,73,26,1,13,70,1,81,92,28,59,27,24,47,3,30,72,36,12,83,41,89,55,85,15,12,43,51,11,14,57,72,86,21,91,26,38,91,1,28,7,80
0,17,97,33,42,3,67,22,46,83,67,73,26,1,13,70,1,81,92,28,59,27,24,47,3,30,72,36,12,39,41,89,50,85,55,12,43,51,13,14,57,72,83,21,91,46,38,91,1,28,27,80
0,18,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,81,92,28,59,27,24,47,3,30,68,36,12,33,41,89,50,85,55,12,43,51,13,13,57,72,83,21,99,46,38,91,1,28,27,80
0,19,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,81,92,28,59,27,24,17,1,30,68,36,12,33,41,89,50,85,55,12,43,51,19,13,57,72,83,21,99,46,38,91,1,28,27,80
0,20,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,81,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,19,10,57,72,83,21,99,46,88,96,1,28,22,80
0,21,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,81,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,19,10,57,72,86,21,99,46,88,96,1,28,22,80
0,22,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,81,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,19,10,57,72,86,21,99,46,88,96,1,28,22,80
0,23,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,81,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,19,10,57,72,86,21,99,46,88,96,1,28,22,80
0,24,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,88,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,19,10,57,72,86,21,99,46,88,91,1,28,22,80
0,25,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,88,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,19,10,57,72,83,21,99,46,88,91,1,28,22,80
0,26,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,88,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,19,10,57,72,83,21,99,46,88,91,1,28,22,80
0,27,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,88,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,16,10,57,72,83,21,99,46,88,91,1,28,22,80
0,28,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,88,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,18,43,51,16,10,57,72,83,21,99,46,88,91,1,28,27,80
0,29,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,88,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,18,43,51,16,10,57,72,83,21,99,46,88,91,1,28,27,80
0,30,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,89,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,16,10,57,72,83,21,93,46,88,91,1,28,27,80
0,31,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,89,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,16,10,57,72,83,21,93,46,88,91,1,28,27,80
0,32,97,33,42,3,77,22,46,83,67,73,26,1,13,70,51,89,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,16,10,57,72,83,21,93,46,88,91,1,28,27,80
0,33,97,33,42,3,77,22,46,83,67,73,26,1,15,70,51,89,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,16,10,57,72,83,21,93,46,88,91,1,28,27,80
0,34,97,33,42,3,77,22,46,83,67,73,26,1,15,70,51,89,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,16,10,57,72,83,21,93,46,88,91,1,28,27,80
0,35,97,33,42,3,77,22,46,83,67,73,26,1,15,70,51,89,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,16,10,57,72,83,21,93,46,88,91,1,28,27,80
0,36,97,33,42,3,77,22,46,83,67,73,26,1,15,70,51,89,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,12,43,51,16,10,57,72,83,21,93,46,88,91,1,28,27,80
0,37,97,33,42,3,77,22,46,83,67,73,26,1,15,70,51,82,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,18,43,51,16,10,57,72,83,21,93,46,88,96,1,28,22,80
0,38,97,33,42,3,77,22,46,83,67,73,26,1,15,70,51,82,92,28,59,27,24,17,1,30,68,31,12,33,41,89,50,85,55,18,43,51,16,10,57,72,83,21,93,46,88,96,1,28,22,80
0,39,97,33,42,3,77,22,46,83,67,73,26,1,15,70,51,82,92,28,59,27,24,17,1,30,62,31,12,33,41,89,50,85,55,18,43,51,16,12,57,72,83,21,93,46,88,96,1,28,22,80
1,0,51,92,75,89,83,45,81,65,29,36,60,51,1,93,37,87,4,99,75,72,27,29,24,78,81,8,25,26,94,10,67,69,5,84,12,9,34,61,79,93,18,66,87,6,57,13,56,32,31,70
1,1,98,13,71,27,86,45,81,61,20,58,60,53,3,89,79,84,8,90,52,87,20,69,57,72,5,18,25,51,94,16,23,79,3,81,42,4,39,61,79,93,16,96,23,86,97,82,51,32,84,46
1,2,98,13,71,27,86,45,81,61,20,58,60,51,1,81,16,84,2,90,47,87,20,69,57,72,5,18,25,51,94,16,23,58,9,84,52,4,39,61,79,93,16,86,59,86,97,82,50,32,14,46
1,3,98,13,71,22,82,40,81,0,20,1,60,51,8,84,16,84,2,90,47,87,20,69,57,72,5,18,25,67,20,18,92,58,3,84,52,4,39,61,79,11,16,86,59,86,97,34,59,32,73,46
1,4,38,73,42,22,82,40,81,0,20,1,60,51,8,84,16,84,2,90,47,98,18,63,17,72,73,43,95,67,20,18,92,58,3,84,52,24,33,99,31,11,16,86,59,16,17,34,59,32,73,46
