Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59
0,0,54,88,11,74,87,16,58,80,47,17,81,72,9,37,5,22,60,28,37,37,60,85,67,85,10,55,47,55,88,69,54,25,65,7,87,67,40,85,82,64,25,75,78,27,31,53,74,0,68,0,96,3,56,52,2,37,55,88,48,21
0,1,85,83,70,67,67,86,81,85,99,66,10,13,5,37,27,25,70,26,2,4,60,89,65,77,4,50,40,59,81,31,54,25,76,86,23,67,47,81,85,64,22,25,78,24,21,50,74,30,65,44,42,11,52,28,2,37,58,69,14,31
0,2,85,83,70,67,67,86,81,85,99,66,10,13,5,39,75,22,21,23,17,67,90,0,69,15,33,57,40,50,82,31,54,25,76,86,23,67,47,88,86,64,22,45,88,27,11,50,74,30,65,25,66,73,86,28,2,39,52,69,47,32
0,3,75,83,70,60,47,3,26,87,38,46,61,82,5,39,75,20,19,23,16,64,90,0,69,15,33,57,40,50,82,40,57,25,55,73,53,65,38,88,81,64,22,45,88,27,11,10,74,61,65,20,56,73,86,68,2,39,52,15,47,38
0,4,60,46,12,92,17,51,41,85,58,46,70,83,8,39,75,20,19,23,16,64,90,0,69,15,33,57,40,50,82,41,57,55,26,76,63,60,49,88,81,64,22,45,88,27,11,10,76,90,61,20,56,73,86,68,2,39,52,19,47,78
0,5,60,46,12,92,17,56,46,87,23,46,78,81,8,39,75,20,19,23,16,64,90,0,69,15,33,57,40,50,82,41,57,55,26,73,73,60,39,88,81,64,22,45,88,27,11,10,76,95,65,20,56,73,86,68,2,39,52,15,47,71
0,6,60,46,12,92,17,56,46,87,23,46,78,81,8,39,75,20,19,23,16,64,90,70,86,23,54,57,44,54,87,41,57,55,26,73,73,60,39,88,81,64,22,55,28,60,96,10,76,95,65,20,56,73,3,68,2,39,57,15,14,78
0,7,60,46,12,92,17,56,46,87,23,46,78,81,8,39,75,20,19,23,47,87,80,73,86,25,54,57,44,50,87,41,57,55,26,73,73,60,39,88,81,64,12,55,98,89,93,10,76,95,65,20,76,73,2,68,2,38,52,15,14,78
0,8,10,42,62,92,7,40,6,83,13,6,48,81,8,19,85,29,89,3,40,87,80,73,86,25,54,57,44,50,87,41,57,15,23,73,93,60,39,87,11,64,12,55,98,89,93,70,76,45,65,30,76,73,2,28,4,36,52,15,14,78
0,9,90,42,62,92,7,40,6,87,13,6,48,41,8,19,85,9,89,3,40,27,88,73,86,25,54,57,44,50,87,41,57,15,27,73,93,60,43,87,11,64,12,55,98,89,93,70,76,45,65,30,76,73,2,58,4,31,52,15,14,78
0,10,90,42,62,92,7,40,6,87,13,6,8,41,3,19,85,9,89,4,40,22,88,73,86,25,56,57,44,50,87,41,57,15,27,73,33,64,43,87,11,64,12,65,18,50,93,70,76,45,65,30,76,63,42,58,9,36,62,15,64,78
0,11,90,41,12,97,7,40,6,87,3,76,8,41,3,19,85,9,89,4,40,22,88,73,86,25,56,57,44,50,87,41,57,15,27,73,33,64,39,87,11,64,12,65,18,50,93,70,66,45,65,30,76,63,42,58,34,36,62,15,64,78
0,12,90,41,12,97,7,40,6,87,3,76,8,41,3,19,85,9,89,4,40,22,88,27,86,25,56,57,44,50,87,41,57,15,27,73,33,64,39,89,11,64,42,65,18,50,53,70,66,45,65,70,76,63,49,58,34,26,67,15,60,78
0,13,90,41,12,97,7,40,6,87,3,76,8,41,3,19,85,9,89,4,40,22,88,24,86,45,56,57,44,50,87,41,57,75,27,73,33,64,39,89,11,64,42,35,68,50,53,70,66,45,65,70,76,63,49,88,34,26,66,15,60,78
0,14,90,41,12,97,7,40,6,87,3,76,8,41,3,19,85,9,89,4,40,22,88,24,86,45,56,57,44,50,87,41,57,75,27,73,33,64,39,89,11,64,42,35,68,50,56,70,66,45,65,70,76,63,42,88,34,26,66,15,64,78
0,15,90,41,12,97,7,40,6,87,3,76,8,41,3,19,85,9,89,4,40,22,88,24,86,45,56,57,44,50,87,41,57,75,27,73,33,64,39,89,11,64,42,35,68,50,53,70,66,45,65,70,76,63,49,88,34,26,67,15,64,78
0,16,90,41,12,97,7,40,6,87,3,76,8,41,3,19,85,9,89,4,40,22,88,24,86,45,56,57,44,50,87,41,57,75,27,73,33,64,39,89,11,64,42,35,68,50,53,70,66,45,65,70,76,63,49,88,34,26,67,15,60,78
0,17,90,41,12,97,7,40,6,87,3,76,8,41,3,19,85,9,89,4,40,22,88,27,81,45,56,57,44,50,87,41,57,75,27,73,33,64,39,89,11,64,42,35,68,50,53,70,66,45,65,70,76,63,49,88,34,26,67,15,60,78
0,18,90,41,12,97,7,40,6,87,3,76,8,41,3,19,85,9,89,4,40,22,88,27,81,45,56,57,44,50,87,41,57,75,27,73,33,64,39,89,11,64,42,35,68,50,53,70,66,45,65,70,76,63,49,88,34,26,67,15,60,78
0,19,90,41,12,97,7,40,6,87,3,76,8,41,3,19,85,9,89,4,40,22,88,27,81,45,56,57,44,50,87,41,57,75,27,73,33,64,39,89,11,64,42,35,68,50,53,70,66,45,65,70,76,63,49,88,34,26,67,15,60,78
0,20,90,41,12,97,7,40,6,87,3,76,8,41,3,19,85,9,89,4,40,22,88,27,81,45,56,57,44,50,87,41,57,75,27,73,33,64,39,89,11,64,42,35,68,50,53,70,66,45,65,70,76,63,49,88,34,26,67,15,60,78
0,21,90,41,12,97,7,40,6,87,3,76,8,41,3,19,85,9,89,4,40,22,88,27,81,45,56,57,44,50,87,41,57,75,27,73,33,64,39,89,11,64,42,35,68,50,53,70,66,45,65,70,76,63,49,88,34,26,67,15,60,78
0,22,90,41,12,97,7,40,6,87,3,76,8,41,3,19,85,9,89,4,40,22,88,27,81,45,56,57,44,50,87,41,57,75,27,73,33,64,39,89,11,64,42,35,68,50,53,70,66,45,65,70,76,63,49,88,34,26,67,15,60,78
0,23,90,41,12,97,7,40,6,89,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,57,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,53,70,66,45,65,70,76,63,49,68,38,24,67,15,60,78
0,24,90,41,12,97,7,40,6,89,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,53,70,66,45,65,70,76,63,49,68,38,24,66,15,60,78
0,25,90,41,12,97,7,40,6,89,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,42,68,38,24,67,15,60,78
0,26,90,41,12,97,7,40,6,89,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,42,68,38,24,67,15,60,78
0,27,90,41,12,97,7,40,6,89,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,42,68,38,24,67,15,60,78
0,28,90,41,12,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,49,28,39,24,66,15,60,78
0,29,90,41,12,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,49,58,38,24,66,15,60,78
0,30,90,41,12,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,49,58,38,24,66,15,60,78
0,31,90,41,12,97,7,40,6,84,3,76,8,41,3,13,85,9,89,4,40,22,88,27,81,45,56,54,44,50,87,41,57,75,27,73,33,64,39,87,11,64,42,35,68,50,59,70,66,45,65,70,76,63,49,58,38,24,66,15,60,78
