Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69
0,0,91,47,48,31,79,35,15,81,66,49,11,47,42,82,7,22,26,90,23,17,2,42,24,0,76,99,13,65,88,69,54,34,80,99,78,0,1,80,4,21,79,5,79,51,80,10,4,70,72,22,35,20,23,23,49,33,24,73,36,48,73,81,92,6,35,7,88,45,32,55
0,1,97,47,31,88,89,97,95,89,66,42,11,78,42,81,23,29,81,94,33,10,53,48,22,54,77,97,13,66,88,86,54,99,41,99,78,9,22,57,7,53,73,9,75,58,66,97,8,98,71,52,11,39,77,66,42,37,26,50,31,69,76,86,98,4,84,83,80,27,63,50
0,2,96,47,43,47,69,25,31,89,66,42,11,78,42,81,23,29,81,94,33,10,53,48,22,48,46,91,13,67,87,49,57,14,90,29,68,1,21,53,2,53,73,9,75,58,66,97,8,18,74,17,51,38,73,55,43,37,26,50,31,33,73,84,98,4,84,23,82,27,66,59
0,3,96,47,43,47,69,25,31,86,56,22,38,69,46,48,72,29,82,98,13,85,38,22,48,48,46,91,13,67,87,49,57,14,90,29,68,1,21,53,2,38,78,87,55,54,16,37,89,18,74,17,51,38,73,55,43,37,67,57,31,33,73,84,98,31,44,23,82,53,66,54
0,4,96,47,43,47,69,25,31,86,56,22,38,69,46,48,72,29,82,98,13,85,38,22,48,48,4,91,11,64,83,46,57,14,90,29,68,1,21,53,2,38,78,87,55,54,16,37,89,18,70,45,71,38,73,55,43,37,67,57,31,59,76,84,98,31,44,23,82,53,66,52
0,5,26,40,22,71,32,15,41,86,56,22,38,69,46,48,72,29,82,98,13,85,38,22,48,48,0,91,11,64,83,46,57,14,90,29,68,1,21,33,2,38,78,87,55,54,16,37,89,18,74,45,71,38,73,53,48,37,67,57,31,59,76,84,98,31,44,23,84,53,66,52
0,6,26,40,22,71,32,15,41,86,76,22,58,58,44,48,89,29,82,98,13,85,38,22,48,48,0,91,11,64,83,46,57,14,90,29,68,1,21,33,2,83,78,87,45,54,16,37,89,18,74,45,71,38,73,53,48,38,67,57,31,59,76,84,98,64,44,23,84,52,66,57
0,7,26,40,20,71,32,15,41,86,76,22,58,58,44,48,88,29,85,91,43,65,68,32,78,48,9,98,11,64,83,46,57,29,90,59,68,21,21,33,2,83,78,87,45,54,36,87,9,50,74,74,71,78,3,86,48,38,95,59,1,19,86,44,98,61,4,23,83,52,66,90
0,8,16,40,22,71,22,65,81,86,76,22,58,58,44,48,88,29,85,91,43,65,68,32,78,48,9,98,11,64,83,46,57,28,70,59,8,21,1,83,62,83,78,87,45,54,36,87,9,50,74,74,71,84,5,50,41,38,95,59,1,19,86,44,98,61,4,23,83,52,66,50
0,9,16,40,22,71,22,65,81,86,76,22,58,58,44,48,88,29,13,91,43,25,68,36,78,48,9,98,11,64,83,46,57,28,70,59,8,21,1,83,62,83,78,87,45,4,31,67,81,50,74,74,71,84,5,50,41,38,95,19,31,19,86,44,98,61,6,23,83,53,66,99
0,10,16,40,22,71,22,65,61,86,36,2,58,28,44,78,88,29,13,91,43,25,68,36,78,48,9,98,11,64,83,46,57,74,70,59,8,41,1,83,62,87,78,97,35,4,31,67,81,50,74,74,71,84,5,80,41,28,95,19,31,19,86,44,98,61,6,23,83,53,66,99
0,11,16,40,22,71,22,65,65,86,36,2,58,28,44,78,88,29,13,91,43,25,28,36,78,28,58,98,11,64,83,48,57,74,70,59,38,41,1,83,62,87,78,97,35,4,31,67,1,30,74,74,1,84,9,80,88,28,95,19,31,19,26,44,98,61,0,23,84,53,66,99
0,12,16,40,22,71,22,5,65,86,36,2,48,8,44,78,88,9,15,81,43,25,48,36,78,28,58,98,11,64,83,48,57,74,70,58,38,81,1,53,62,84,78,97,35,36,31,67,1,30,74,74,1,84,5,80,88,28,95,49,21,19,26,44,98,61,0,23,83,7,66,99
0,13,16,40,22,71,22,5,65,86,36,2,48,8,44,78,88,0,15,81,42,25,48,36,78,98,58,98,1,64,83,48,57,74,20,58,28,81,21,53,62,84,78,97,35,34,31,67,1,60,74,74,1,84,9,60,88,28,75,49,31,99,26,44,98,61,0,23,83,7,66,99
0,14,16,40,22,71,22,5,65,86,36,2,48,8,44,78,88,9,13,81,42,25,78,36,78,98,58,98,1,64,83,48,57,74,20,58,28,11,21,53,62,84,74,97,15,34,31,67,1,60,74,74,1,84,5,60,88,28,75,49,21,99,26,44,98,61,0,23,86,7,66,99
0,15,16,40,22,71,22,5,63,86,36,2,48,8,44,78,88,9,13,81,42,25,78,36,78,98,58,98,1,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,1,60,74,74,1,84,5,60,88,28,75,49,21,99,26,44,98,61,0,23,83,7,66,99
0,16,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,9,13,81,42,25,78,36,78,98,58,98,1,64,83,48,57,84,20,58,28,11,21,53,62,84,77,97,15,34,31,67,1,60,74,74,1,84,5,60,88,28,75,49,21,99,26,44,98,64,0,23,83,7,66,99
0,17,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,9,13,81,42,45,78,36,78,98,58,98,1,64,83,48,57,84,20,58,28,11,21,53,62,84,77,97,15,34,31,67,1,0,74,74,1,84,5,60,88,28,75,49,1,99,26,44,98,64,0,23,83,7,66,99
0,18,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,9,13,81,42,45,78,36,78,88,58,98,1,64,83,48,57,84,20,58,28,11,21,53,62,84,77,97,15,34,31,67,1,0,74,74,1,84,5,60,88,28,75,49,1,79,26,44,98,64,0,23,83,7,66,99
0,19,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,13,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,1,0,74,74,1,84,5,60,88,28,75,49,1,79,26,44,98,61,0,23,83,7,66,99
0,20,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,1,0,74,74,1,84,5,60,88,28,75,49,1,79,26,44,98,61,0,23,83,7,66,99
0,21,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,1,0,74,74,1,84,5,60,88,28,75,49,1,79,26,44,98,64,0,23,83,7,66,99
0,22,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,1,0,74,74,1,84,5,60,88,28,75,49,1,79,26,44,98,64,0,23,83,7,66,99
0,23,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,1,0,74,74,1,84,5,60,88,28,75,49,1,79,26,44,98,64,0,23,83,7,66,99
0,24,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,1,0,74,74,1,84,5,60,88,28,75,49,1,79,26,44,98,64,0,23,83,7,66,99
0,25,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,81,0,74,74,1,84,5,60,88,28,75,49,31,79,26,44,98,64,0,23,83,7,66,99
0,26,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,81,0,74,74,1,84,5,60,88,28,75,49,31,79,26,44,98,64,0,23,83,7,66,99
0,27,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,81,0,74,74,1,84,5,60,88,28,75,49,31,79,26,44,98,64,0,23,83,7,66,99
0,28,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,81,0,74,74,1,84,5,60,88,28,75,49,1,79,26,44,98,64,0,23,83,7,66,99
0,29,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,81,0,74,74,1,84,5,60,88,28,75,49,1,79,26,44,98,64,0,23,83,7,66,99
0,30,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,81,0,74,74,1,84,5,60,88,28,75,49,1,79,26,44,98,64,0,23,83,7,66,99
0,31,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,81,0,74,74,1,84,5,60,88,28,75,49,1,79,26,44,98,64,0,23,83,7,66,99
0,32,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,81,0,74,74,1,84,5,60,88,28,75,49,1,79,26,44,98,64,0,23,84,7,66,99
0,33,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,81,0,74,74,1,84,5,60,88,28,75,49,1,79,26,44,98,64,0,23,84,7,66,99
0,34,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,81,0,74,74,1,84,5,60,88,28,75,49,31,79,26,44,98,64,0,23,84,7,66,99
0,35,16,40,22,71,22,5,63,86,26,2,48,8,44,78,88,0,15,81,42,45,78,36,78,88,58,98,5,64,83,48,57,84,20,58,28,11,21,53,62,84,74,97,15,34,31,67,81,0,74,74,1,84,5,60,88,28,75,49,31,79,26,44,98,61,0,23,84,7,66,99
