Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79
0,0,39,50,67,65,48,71,29,60,18,35,52,75,55,74,71,75,28,13,21,30,6,97,84,53,45,32,9,88,25,70,19,92,90,27,40,24,41,35,8,42,94,88,0,44,63,14,50,53,95,2,35,87,64,61,55,5,58,16,41,90,90,23,73,67,16,51,2,66,30,86,85,31,81,22,83,97,76,75,64,76
0,1,37,55,68,15,89,50,6,63,44,33,82,76,57,76,78,73,38,13,21,30,6,97,84,53,45,32,9,88,25,70,19,92,90,22,7,23,45,92,8,47,91,80,24,43,90,16,51,55,90,2,35,87,64,61,55,5,58,69,39,44,90,82,74,62,42,51,2,66,30,83,81,16,86,22,83,99,76,75,55,66
0,2,37,57,67,39,78,50,0,64,41,35,34,79,50,79,70,74,49,18,70,2,1,97,85,2,3,36,8,87,25,17,31,58,50,22,7,23,45,92,8,47,91,86,19,49,99,13,59,58,92,39,75,61,64,64,56,2,3,69,39,44,90,82,72,63,77,11,8,44,31,83,81,76,82,62,63,99,72,72,50,10
0,3,95,53,26,31,13,30,4,63,64,3,32,76,53,79,79,42,47,18,70,2,1,97,85,2,3,36,8,87,25,17,31,58,50,22,7,23,45,97,8,47,90,80,84,46,21,16,57,12,98,39,75,61,64,64,56,2,3,69,39,4,90,88,76,69,50,11,8,44,31,83,73,71,82,62,63,93,26,72,50,10
0,4,98,52,88,45,12,30,4,64,68,3,32,76,53,79,79,42,47,18,70,2,1,97,85,2,3,36,8,87,25,17,31,58,50,62,27,23,46,97,8,46,97,84,84,46,29,16,57,12,98,39,75,61,64,64,56,2,3,49,9,4,95,82,76,69,50,11,8,44,31,33,79,1,82,62,63,93,80,72,50,12
0,5,98,52,6,45,19,30,4,64,68,77,32,76,53,79,79,44,67,18,70,2,1,97,85,2,3,36,6,85,79,17,31,58,50,62,27,23,46,97,8,46,97,84,84,46,29,16,57,12,99,39,75,61,64,95,54,2,3,49,9,4,95,88,76,69,30,11,8,33,31,33,79,1,82,62,23,93,80,76,50,12
0,6,98,52,6,45,19,30,4,64,68,77,32,76,53,79,79,44,67,18,43,22,1,97,85,2,3,6,6,85,79,27,1,48,54,62,27,23,46,97,8,46,97,84,84,46,29,16,57,12,99,77,44,61,64,37,54,72,23,49,9,4,95,88,76,69,30,21,8,73,36,33,79,1,82,92,23,93,80,73,50,92
0,7,98,53,1,45,19,20,34,67,68,77,32,76,53,79,79,44,67,18,11,22,1,37,85,72,83,6,6,85,79,27,1,48,54,61,77,23,46,97,8,76,93,84,81,86,29,16,57,12,99,77,44,1,69,37,54,72,23,43,9,4,95,88,76,69,30,21,8,73,36,73,0,1,82,92,23,93,40,73,0,92
0,8,48,53,1,5,25,20,34,77,68,77,92,70,53,79,79,44,67,18,11,22,1,37,85,72,83,6,6,85,79,27,1,48,54,61,77,23,46,27,8,76,93,64,81,86,29,56,57,12,91,77,44,1,69,37,54,72,23,43,9,4,55,8,76,69,20,21,8,73,36,73,9,1,82,92,23,93,40,73,0,92
0,9,48,52,1,5,25,0,34,77,68,77,92,40,52,79,89,44,67,18,61,22,1,57,85,72,83,6,6,85,79,27,3,8,44,61,77,23,46,27,8,76,93,64,81,86,20,56,57,12,91,57,44,1,69,57,94,70,33,43,9,4,55,8,76,73,20,21,6,74,32,73,9,1,82,92,23,93,40,6,0,92
0,10,48,52,1,5,25,0,34,77,68,77,92,40,52,79,89,44,67,18,61,65,1,57,85,22,99,6,47,85,79,27,3,8,4,61,77,23,46,27,8,76,93,64,81,86,20,56,57,12,91,57,44,1,63,57,94,70,33,43,9,4,55,8,76,73,20,21,6,74,32,73,9,1,82,92,23,93,40,3,0,92
0,11,48,52,1,5,25,0,34,77,68,77,97,30,53,79,89,44,67,18,61,65,1,57,85,22,99,6,47,85,79,27,3,8,4,61,77,23,46,27,8,76,93,64,81,86,20,56,57,12,91,57,44,1,63,57,94,70,33,43,9,4,55,8,76,80,20,21,6,74,32,73,9,1,84,92,23,93,40,3,0,92
0,12,8,52,1,5,25,60,34,97,68,77,97,30,53,79,89,44,67,18,61,65,1,57,85,22,99,6,47,85,79,27,7,8,4,91,77,33,46,27,8,76,93,64,51,86,29,46,57,18,91,57,44,1,63,57,94,72,33,83,39,4,55,8,76,80,80,21,6,74,32,73,9,51,89,92,23,93,40,3,0,92
0,13,8,52,1,75,25,60,34,97,68,77,97,50,53,79,89,44,67,95,61,65,1,57,85,22,88,6,47,85,79,27,7,8,34,91,77,33,46,37,8,76,53,64,51,86,29,46,57,18,91,57,44,1,63,57,94,32,31,83,39,64,55,8,76,80,80,31,5,74,32,73,3,51,89,92,23,93,40,6,0,2
0,14,18,52,1,75,25,60,74,97,68,27,97,50,53,79,89,14,63,95,61,65,1,57,85,22,88,56,47,85,79,27,7,8,34,91,68,33,46,37,58,76,53,64,31,86,29,46,57,18,91,57,44,1,63,57,97,32,31,83,44,64,55,1,76,80,80,31,5,74,32,73,3,51,89,92,23,93,0,3,0,2
