Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89
0,0,14,34,24,50,42,49,11,25,74,74,14,32,94,95,33,99,68,81,5,65,79,26,49,71,23,28,54,36,81,2,28,63,54,10,81,19,48,84,48,24,61,97,76,43,39,66,66,47,71,34,19,81,60,14,89,25,89,16,0,93,28,55,58,21,63,53,13,85,4,52,73,51,70,97,94,66,49,3,22,49,9,79,32,65,61,77,92,83,78,30
0,1,76,32,1,39,52,79,67,29,1,79,17,36,92,97,32,94,22,85,21,56,70,23,42,66,23,22,50,36,81,2,28,63,54,10,81,19,48,84,48,24,61,97,76,44,55,62,14,44,79,59,46,89,66,12,83,22,89,79,7,93,28,55,58,21,63,53,13,36,0,4,75,1,78,79,36,66,49,3,22,39,0,76,34,65,61,38,30,83,38,30
0,2,76,32,1,39,52,79,67,29,1,79,17,92,95,93,34,91,28,85,88,58,3,22,42,7,79,22,56,36,84,62,27,13,24,19,1,19,40,81,47,29,63,84,49,44,55,62,14,44,79,59,46,4,67,6,82,39,89,77,9,23,95,57,58,93,4,3,19,36,0,4,75,5,78,17,33,60,89,6,29,39,0,76,33,69,29,38,38,69,34,39
0,3,76,32,1,39,52,79,67,29,1,79,17,41,92,92,33,92,39,83,54,31,9,26,48,4,88,20,56,36,84,62,27,13,24,19,1,19,40,81,47,29,63,84,49,44,55,62,14,44,79,59,46,6,3,20,80,37,87,3,2,23,95,57,58,93,4,3,19,36,0,4,75,29,72,11,22,60,89,6,29,39,0,76,33,69,29,38,46,69,80,39
0,4,76,32,1,12,63,30,7,20,52,79,85,41,92,92,33,92,39,83,54,31,9,26,48,4,88,20,56,36,84,62,27,13,24,19,1,19,40,81,47,29,63,84,49,44,55,62,14,77,43,13,66,6,3,20,80,37,87,3,2,23,95,57,58,93,4,3,19,36,0,2,75,29,72,11,22,60,89,6,29,39,95,76,33,69,29,63,46,69,81,49
0,5,88,30,56,12,63,30,7,20,52,79,85,41,92,92,33,92,39,83,54,98,55,27,48,4,88,20,56,36,84,62,27,13,24,19,1,19,40,81,47,29,63,84,49,44,55,2,44,77,43,13,66,6,3,20,80,37,81,3,2,23,95,57,58,93,4,3,19,36,1,2,75,29,72,80,22,60,89,6,29,13,95,76,33,69,29,63,46,69,81,49
0,6,88,30,56,12,63,30,7,20,52,79,85,58,83,92,19,92,39,83,54,98,55,25,48,24,88,20,56,36,84,83,27,77,29,18,51,19,40,81,47,23,64,74,39,44,55,2,44,77,43,13,66,6,1,20,80,37,81,39,2,23,65,57,33,93,4,23,77,36,1,2,75,29,72,80,28,60,94,6,27,13,95,76,33,61,30,63,46,57,41,49
0,7,80,30,46,12,63,30,7,20,52,77,95,58,83,92,19,92,39,83,54,98,55,25,48,24,88,20,56,36,84,83,27,77,29,18,51,19,40,81,47,23,64,74,39,34,46,2,95,77,43,11,88,6,1,20,80,37,81,39,2,23,65,57,33,93,4,23,77,6,1,2,78,29,72,80,28,60,94,6,27,13,99,76,33,61,30,60,46,57,44,59
0,8,80,30,46,92,83,30,77,20,52,77,95,58,89,92,19,92,39,23,54,88,57,35,48,24,88,20,56,36,84,83,27,77,29,18,51,19,40,81,47,23,64,74,39,34,46,2,95,96,73,11,88,6,1,20,80,93,51,39,2,23,65,57,33,93,4,23,77,6,1,2,70,29,71,80,28,60,94,6,27,13,95,36,33,61,30,60,6,57,44,59
0,9,80,30,46,92,83,30,77,20,52,77,95,58,89,92,19,92,39,23,54,88,57,35,48,24,88,20,56,33,32,34,27,77,29,18,61,19,40,81,43,23,64,74,39,34,46,2,95,96,73,11,88,6,1,20,80,93,51,39,2,32,65,57,93,49,54,25,77,6,1,2,70,29,71,80,28,68,94,26,73,13,95,36,33,61,43,60,6,56,44,59
0,10,80,30,46,72,83,30,77,20,52,77,95,58,89,92,19,92,39,23,54,88,57,35,48,24,88,20,56,33,32,34,27,77,29,18,61,19,40,81,43,23,64,74,39,34,43,2,95,99,78,11,88,6,1,20,80,93,51,39,2,32,65,57,93,49,54,25,77,6,1,2,70,29,71,80,28,68,94,26,73,3,75,36,33,61,43,10,6,56,44,59
0,11,40,30,46,72,83,30,77,20,22,47,45,51,89,92,13,92,19,43,54,88,97,35,48,24,68,20,57,33,32,34,27,77,29,18,61,19,40,81,43,23,64,74,39,34,43,2,95,99,78,11,88,26,7,50,80,93,51,99,2,32,65,57,93,49,54,25,77,78,71,62,20,29,71,80,78,68,94,26,73,3,45,36,33,61,43,13,16,56,44,59
0,12,40,30,46,72,83,30,77,20,22,40,48,8,89,92,13,92,19,43,14,88,97,35,48,24,68,20,27,33,32,34,27,77,29,18,61,19,40,81,43,23,64,74,39,34,43,2,95,99,58,11,85,26,7,50,81,93,51,97,5,32,65,57,93,49,54,25,77,78,71,72,28,29,71,80,52,68,94,26,73,3,45,36,33,61,43,13,16,56,44,59
0,13,40,30,46,72,83,30,74,20,22,40,45,8,89,92,13,92,19,43,14,88,97,35,48,24,68,20,27,33,32,34,27,77,29,18,61,19,40,81,43,23,64,74,39,34,43,2,95,99,56,11,88,26,7,50,81,93,51,97,5,32,65,57,93,49,54,25,77,48,81,72,20,29,71,80,52,68,94,26,73,3,45,36,33,61,43,13,16,56,40,59
0,14,40,30,46,72,83,30,74,20,22,40,45,8,89,92,13,92,19,43,14,88,97,35,48,24,68,20,27,33,32,34,77,97,29,18,61,89,59,81,43,23,64,74,39,34,43,2,95,99,56,11,88,26,7,50,81,93,51,97,5,32,65,52,93,89,54,28,72,48,81,72,20,29,71,80,52,68,94,28,73,3,45,36,33,61,42,13,16,57,40,59
0,15,40,30,46,72,83,30,74,20,22,40,45,8,89,92,13,92,19,43,14,80,97,35,48,24,68,30,27,33,32,34,77,97,29,18,61,89,59,81,43,23,64,74,39,34,43,2,95,99,56,11,88,26,7,50,81,93,51,97,6,32,65,52,93,89,54,28,72,48,81,72,20,29,71,83,58,68,94,28,73,3,45,36,93,61,42,13,16,57,40,59
0,16,50,30,46,72,93,30,74,20,22,40,45,8,89,92,13,92,59,43,14,80,97,35,48,24,68,30,27,33,5,34,77,97,29,18,61,89,59,81,43,23,64,74,59,34,43,2,65,99,56,11,85,26,7,50,81,93,51,97,6,32,65,52,93,89,54,28,72,48,81,72,28,29,71,83,52,68,94,26,73,3,45,36,93,61,42,10,16,47,40,59
0,17,50,30,46,72,93,30,74,20,22,40,45,1,89,92,13,92,59,43,14,80,97,85,48,24,68,30,27,33,5,34,77,97,29,18,21,89,59,81,43,23,64,74,59,34,43,12,65,99,56,11,85,26,7,50,81,93,51,97,5,32,65,52,93,89,54,28,72,48,81,72,28,29,71,83,58,68,94,26,73,3,45,36,93,61,42,13,16,47,40,89
0,18,50,30,86,72,93,30,74,20,22,40,45,1,89,92,13,92,59,43,14,10,97,85,48,24,68,30,27,33,5,34,77,97,29,18,21,89,59,81,43,23,64,74,59,34,43,12,65,99,56,11,85,26,7,50,81,93,51,97,5,32,65,52,93,89,54,28,72,41,81,72,28,29,71,83,58,68,94,26,73,3,45,36,93,61,42,10,16,47,40,89
0,19,50,30,86,72,93,30,74,20,22,40,45,8,89,92,89,92,59,43,14,10,97,85,48,34,68,30,27,33,5,34,77,97,29,88,21,89,59,81,43,23,64,74,59,4,43,12,65,99,56,11,85,26,7,50,81,93,51,97,5,32,65,52,93,89,54,28,72,48,81,72,28,29,71,83,52,68,94,26,73,3,45,36,93,61,42,13,16,46,40,9
0,20,50,30,86,72,93,30,74,20,22,40,45,8,89,92,89,92,59,43,14,10,97,85,48,34,68,30,27,33,5,35,77,97,29,88,21,89,59,81,43,23,64,74,58,4,43,12,65,99,56,11,85,26,7,50,81,93,51,97,5,32,15,52,93,89,54,28,72,48,81,72,28,29,71,83,52,68,94,26,73,3,45,36,93,61,2,13,16,46,40,9
0,21,90,30,86,72,93,30,74,20,22,40,48,8,89,92,89,92,59,43,14,10,97,85,48,34,68,30,27,33,5,35,77,97,29,88,21,89,59,80,43,23,64,74,58,4,43,12,65,99,56,61,85,26,7,50,81,93,51,97,5,32,15,52,93,89,54,20,72,48,81,72,28,29,71,83,52,68,94,26,93,3,45,36,93,61,2,10,16,46,40,9
0,22,90,30,86,72,93,30,74,20,22,80,48,8,89,92,89,92,59,43,14,10,97,85,48,44,68,30,27,33,5,35,77,97,29,88,21,79,49,81,43,23,64,74,51,4,43,12,65,99,56,61,85,66,7,50,81,93,51,97,5,32,15,52,93,89,54,28,72,48,81,72,28,29,71,83,58,68,94,26,93,3,45,36,93,61,2,13,16,47,40,9
0,23,90,30,86,72,93,30,74,20,22,80,48,8,89,92,89,92,59,43,14,10,97,85,48,44,68,30,27,33,5,35,77,97,49,88,21,79,49,81,43,23,64,74,51,4,43,12,65,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,48,81,72,28,29,71,83,58,68,94,26,93,3,25,36,93,61,2,10,16,46,40,9
0,24,90,30,86,72,93,30,74,20,22,80,48,8,89,92,89,92,59,43,14,10,97,85,48,44,68,30,27,33,5,35,77,27,49,88,21,79,49,81,43,23,64,74,51,4,43,72,65,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,48,81,72,28,29,71,83,58,68,94,26,93,63,25,36,93,61,2,10,16,46,40,9
0,25,90,30,86,72,93,30,74,20,22,80,48,8,89,92,89,92,59,43,14,10,97,85,48,44,68,30,27,33,5,35,77,27,49,88,21,79,49,81,43,23,64,74,51,4,43,72,65,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,48,81,72,28,29,71,83,58,68,94,26,93,63,25,36,93,61,2,10,16,47,40,9
0,26,90,30,86,72,93,30,74,20,22,80,48,8,89,92,89,92,59,43,14,10,97,85,48,44,68,30,27,33,5,35,77,27,49,88,21,79,49,81,43,23,64,74,51,4,43,72,65,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,48,81,72,28,29,71,83,58,68,94,26,93,63,25,36,93,61,2,10,16,46,40,9
0,27,90,30,86,72,93,30,74,20,22,80,48,8,89,92,89,92,59,43,14,10,97,85,48,44,68,30,27,33,5,35,77,27,49,88,23,79,49,81,43,23,64,74,51,4,43,72,65,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,48,81,72,28,29,71,83,58,68,96,26,93,63,25,36,93,61,2,10,16,46,40,9
0,28,90,30,86,72,93,30,74,20,22,80,48,8,89,94,89,92,59,43,14,10,97,85,48,44,68,30,27,33,2,35,77,27,49,88,23,79,49,81,43,23,64,74,51,4,43,72,65,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,48,81,72,28,29,71,83,58,68,96,26,93,63,25,36,93,61,2,10,16,47,40,9
0,29,90,30,86,72,93,30,74,20,22,80,48,8,89,94,89,92,59,43,14,10,97,85,48,44,68,30,27,33,2,35,77,27,49,88,23,79,49,81,43,23,64,74,51,4,43,72,15,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,41,81,72,28,29,71,83,52,68,96,26,93,63,25,36,93,61,2,13,16,47,40,9
0,30,90,30,86,72,93,30,74,20,22,80,48,8,89,94,89,92,59,43,14,10,97,85,48,44,68,30,27,33,2,35,77,27,49,88,23,79,49,81,43,23,64,74,51,4,43,72,15,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,41,81,72,28,29,71,83,52,68,96,26,93,63,25,36,93,61,2,13,16,47,40,9
0,31,90,30,86,72,93,30,74,20,22,80,48,8,89,94,89,92,59,43,14,10,97,85,48,44,68,30,27,33,2,35,77,27,49,88,23,79,41,81,43,23,64,74,51,4,43,72,15,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,41,81,72,28,29,71,83,52,68,96,26,93,63,25,36,93,61,2,13,16,46,40,9
0,32,90,30,86,72,93,30,74,20,22,80,48,8,89,94,89,92,59,43,14,10,97,85,48,44,68,30,27,33,2,35,77,27,49,88,23,79,41,81,43,23,64,74,51,4,43,72,15,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,41,81,72,28,29,71,83,52,68,94,26,93,63,25,36,93,61,2,13,16,47,40,9
0,33,90,30,86,72,93,30,74,20,22,80,48,8,89,94,89,92,59,43,14,10,97,85,48,44,68,30,27,33,2,35,77,27,49,88,23,79,41,81,43,23,64,74,51,4,43,72,15,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,41,81,72,28,29,71,83,52,68,94,26,93,63,25,36,93,61,2,13,16,47,40,9
0,34,90,30,86,72,93,30,74,20,22,80,48,8,89,94,89,92,59,43,14,10,97,85,48,44,68,30,27,33,2,35,77,27,49,88,23,79,41,81,43,23,64,74,51,4,43,72,15,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,41,81,72,28,29,71,83,52,68,94,26,93,63,25,36,93,61,2,13,16,47,40,9
0,35,90,30,86,72,93,30,74,20,22,80,48,8,89,94,89,92,59,43,14,10,97,85,48,44,68,30,27,33,2,35,77,27,49,88,23,79,41,81,43,23,64,74,51,4,43,72,15,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,41,81,72,28,29,71,83,52,68,94,26,93,63,25,36,93,61,2,13,16,46,40,9
0,36,90,30,86,72,93,30,74,20,22,80,48,8,89,94,89,92,59,43,14,10,97,85,48,44,68,30,27,33,2,35,77,27,49,88,23,79,41,81,43,23,64,74,51,4,43,72,15,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,41,81,72,28,29,71,83,52,68,94,26,93,63,25,36,93,61,2,13,16,46,40,9
0,37,90,30,86,72,93,30,74,20,22,80,48,8,89,94,89,92,59,43,14,10,97,85,48,44,68,30,27,33,2,35,77,27,49,88,23,79,41,81,43,23,64,74,51,4,43,72,15,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,41,81,72,28,29,71,83,52,68,94,26,93,63,25,36,93,61,2,10,16,46,40,9
0,38,90,30,86,72,93,30,74,20,22,80,48,8,89,94,89,92,59,43,14,10,97,85,48,44,68,30,27,33,2,35,77,27,49,88,23,79,41,81,43,23,64,74,51,4,43,72,15,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,41,81,72,28,29,71,83,52,68,94,26,93,63,25,36,93,61,2,10,16,46,40,9
0,39,90,30,86,72,93,30,74,20,22,80,48,8,89,94,89,92,59,43,14,10,97,85,48,44,68,30,27,33,2,35,77,27,49,88,23,79,41,81,43,23,64,74,51,4,43,72,15,99,56,61,85,66,7,50,81,93,51,97,5,42,15,52,93,89,54,20,72,41,81,72,28,29,71,83,52,68,94,26,93,63,25,36,93,61,2,10,16,46,40,9
1,0,49,71,24,6,42,32,63,81,9,72,55,60,21,2,55,81,20,31,25,34,41,55,1,41,26,61,69,92,93,39,48,11,77,28,46,69,13,70,32,76,13,97,39,87,94,13,48,79,13,84,19,79,6,49,33,32,90,53,40,28,58,16,12,28,64,70,39,89,65,67,92,22,43,14,69,83,4,99,54,74,84,2,66,37,28,89,56,29,66,94
1,1,79,66,61,21,52,38,63,85,5,1,59,64,22,13,3,85,74,31,22,13,42,56,5,49,23,69,14,92,93,39,48,11,77,28,46,69,13,70,32,76,13,97,39,82,92,11,42,76,19,36,42,73,4,37,32,33,36,73,45,28,58,16,12,28,64,70,39,82,65,22,32,25,44,14,69,83,4,99,54,77,89,8,62,37,28,84,22,29,56,91
1,2,10,4,0,85,7,37,14,89,8,14,56,64,22,13,3,85,74,31,22,13,42,56,5,49,23,69,14,84,23,38,82,27,30,28,46,79,79,74,33,41,19,60,7,80,95,10,47,76,73,10,20,73,4,37,32,33,36,73,45,25,58,63,17,28,8,0,49,80,68,27,39,25,44,14,69,53,4,90,24,77,81,8,62,32,23,84,22,99,50,91
1,3,10,1,59,58,62,37,11,87,53,53,56,2,28,69,9,6,88,35,39,13,42,56,5,49,23,69,14,84,23,38,82,27,30,28,46,79,79,74,33,41,19,60,7,87,94,19,47,76,6,99,69,72,2,70,33,33,36,73,45,25,58,63,17,28,8,0,49,80,68,39,20,95,57,14,69,53,4,90,24,77,85,98,62,32,23,86,16,99,90,91
1,4,10,6,55,51,68,37,19,83,51,55,56,2,28,69,9,6,88,35,39,13,42,56,5,49,23,69,14,84,23,38,82,27,30,28,46,79,79,74,33,41,19,60,7,81,93,79,47,76,4,96,66,72,2,70,33,33,36,73,45,25,58,63,17,28,8,0,49,80,68,39,46,95,57,14,69,53,4,90,24,77,85,98,62,32,23,81,16,99,90,91
1,5,10,6,55,51,68,37,19,83,51,55,56,5,23,89,29,6,88,35,39,50,42,59,5,45,27,68,14,84,23,38,82,27,30,28,46,79,79,74,33,41,19,60,7,81,93,79,47,76,4,96,66,72,52,70,33,43,22,21,45,25,58,63,17,28,8,0,49,80,68,39,46,75,57,84,68,53,4,90,24,77,85,98,2,32,23,81,16,99,90,91
1,6,10,6,55,51,68,37,19,83,51,55,56,5,23,89,29,6,88,35,39,50,42,59,5,45,27,64,64,74,73,69,95,7,88,24,76,79,79,74,33,41,19,60,7,81,93,79,47,76,4,96,66,72,52,17,39,43,22,21,42,27,38,26,16,28,8,0,49,80,68,39,46,75,59,84,62,53,2,90,24,77,85,95,2,12,23,81,16,45,90,91
1,7,30,26,44,51,68,37,19,83,51,55,56,5,23,89,29,6,88,35,39,50,47,59,5,45,27,64,64,74,73,69,95,7,88,24,76,79,79,74,33,41,19,60,7,81,83,72,43,76,4,96,66,72,52,17,39,55,78,21,34,27,38,26,16,28,8,0,49,80,61,39,46,75,59,74,68,53,2,90,24,77,85,95,8,12,23,51,96,45,80,90
