Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109
0,0,8,29,72,77,94,53,0,66,79,51,40,84,13,81,93,68,27,70,62,92,45,81,67,87,17,40,96,4,86,93,49,78,11,84,5,1,53,66,34,35,83,28,93,26,38,87,59,99,84,26,70,61,22,39,0,55,22,45,77,42,51,45,49,94,62,29,96,22,9,23,10,7,79,19,8,43,5,6,19,82,3,1,17,95,52,7,79,96,87,36,15,37,80,29,86,42,62,2,64,82,67,93,7,6,63,84,22,86,88,82
0,1,8,29,72,77,94,53,0,66,79,51,40,84,13,81,93,62,62,72,24,93,47,89,92,26,18,42,91,1,85,64,45,74,21,87,12,0,52,63,33,91,85,22,50,21,26,82,47,99,84,26,70,61,22,39,0,55,22,45,77,42,51,45,49,22,70,34,90,18,37,22,16,70,76,93,99,42,3,2,40,82,3,1,17,95,52,7,79,5,54,33,15,33,19,64,89,42,62,2,64,84,47,59,0,6,63,27,71,86,81,86
0,2,59,25,32,62,44,70,68,68,69,51,35,80,11,87,92,62,62,72,24,93,47,89,92,26,18,42,91,1,85,64,45,79,25,80,63,8,61,60,33,90,85,26,55,23,56,82,14,69,87,61,65,67,20,34,7,50,17,46,72,23,7,44,42,22,70,34,90,18,37,22,16,47,73,42,71,46,4,5,42,5,70,3,13,90,16,0,61,5,54,33,15,36,35,87,80,59,85,22,79,84,47,4,2,99,63,27,90,82,81,82
0,3,54,24,53,57,44,3,33,69,69,51,59,87,19,80,99,62,62,72,24,93,47,89,92,26,18,42,91,1,85,64,45,79,25,80,63,8,61,60,33,90,85,26,55,23,56,82,14,33,87,60,67,63,27,51,7,54,42,45,72,60,81,43,44,22,70,34,90,18,37,22,16,47,73,42,71,46,4,5,42,22,49,9,16,96,12,7,99,5,54,33,15,36,35,87,80,51,82,24,70,84,47,4,2,99,62,27,90,82,81,82
0,4,54,24,53,57,44,3,33,67,19,51,10,87,14,80,94,90,91,72,22,95,47,79,52,17,18,41,90,1,85,64,45,79,25,80,63,4,61,69,30,90,85,26,55,23,56,82,14,33,87,60,67,63,27,51,7,54,42,45,72,63,87,43,49,6,38,9,99,13,35,22,16,47,73,42,15,46,4,5,42,22,49,9,16,96,12,78,90,25,72,73,15,36,0,87,80,51,82,24,67,44,32,4,2,99,62,7,90,88,83,89
0,5,54,24,53,57,44,3,33,67,19,51,10,87,14,80,94,90,92,57,44,3,42,79,36,19,88,47,90,1,85,4,58,79,25,80,63,4,61,69,30,90,85,26,55,23,56,82,14,33,87,60,67,63,27,51,7,54,42,45,72,63,87,43,49,6,37,0,95,9,87,22,14,47,73,42,15,46,4,5,42,22,49,9,16,96,12,78,90,25,23,71,90,36,0,87,80,51,82,24,67,44,12,4,2,99,62,6,90,88,83,9
0,6,54,24,53,57,44,3,33,67,19,51,10,87,14,80,94,90,90,52,41,5,47,79,36,19,88,47,90,1,85,4,58,79,25,80,63,4,61,69,30,90,85,26,0,23,56,82,14,33,87,60,67,63,27,51,7,54,42,45,72,63,87,43,49,56,0,1,95,9,87,22,14,47,73,42,15,46,1,5,42,22,49,9,16,96,12,78,90,25,21,71,90,36,0,36,80,51,82,24,67,41,12,4,6,99,62,6,60,88,83,9
0,7,54,24,53,57,44,3,33,67,19,51,10,87,14,80,94,90,90,52,41,3,49,59,36,19,88,47,90,1,99,4,58,79,25,80,63,4,61,69,30,90,85,26,0,23,56,82,14,33,87,60,67,63,27,51,7,54,42,45,72,63,87,43,49,56,0,1,95,9,87,22,14,47,73,42,15,46,1,5,42,22,49,9,16,96,12,78,90,25,23,71,90,36,0,36,80,51,82,24,67,41,12,4,6,99,62,6,60,88,83,9
0,8,54,24,53,87,44,43,71,19,15,51,10,81,14,80,95,90,90,52,41,3,49,59,36,19,88,47,90,1,99,4,58,79,25,80,63,4,61,69,30,90,85,26,0,23,56,82,14,33,87,60,67,63,27,51,7,54,42,10,76,93,87,43,47,56,0,1,95,9,87,22,14,47,73,42,15,46,1,5,42,22,49,9,16,96,92,78,50,25,23,71,90,36,0,36,80,51,82,24,69,41,12,4,6,99,62,6,60,88,83,9
0,9,54,24,53,87,44,43,71,19,15,51,10,81,14,80,95,90,90,52,41,3,49,59,36,19,88,47,90,1,99,4,58,65,45,80,63,4,61,69,30,10,45,56,67,23,16,82,14,33,87,60,67,63,27,51,7,54,42,10,76,93,87,43,47,56,0,1,95,9,87,22,14,87,73,2,15,46,1,5,42,22,49,9,16,96,92,78,50,25,23,71,90,26,0,36,40,51,82,24,69,41,12,74,6,99,62,6,68,88,83,9
0,10,63,27,23,17,44,43,21,19,85,51,10,81,14,80,91,90,90,52,41,13,29,59,76,79,88,47,90,1,99,54,50,65,45,80,23,4,61,69,30,47,45,56,67,23,16,82,34,37,87,10,67,77,17,81,67,52,72,10,79,93,87,43,47,56,0,1,95,9,87,22,14,87,73,2,65,46,11,5,33,52,39,9,16,76,92,78,50,25,23,41,90,26,70,36,48,51,82,27,59,41,12,74,6,89,62,71,68,88,83,49
0,11,63,27,23,17,44,43,21,19,85,51,10,81,14,80,91,90,90,52,41,13,29,59,76,79,88,47,90,1,99,54,50,95,45,83,53,64,31,69,30,42,49,56,67,23,16,62,34,37,87,10,67,77,17,81,67,52,72,10,79,93,87,43,47,56,0,67,95,9,87,22,14,87,33,9,65,46,11,5,32,52,39,9,16,76,92,78,50,23,43,41,90,21,70,36,42,51,82,27,59,41,12,74,6,89,62,40,4,88,83,49
