Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139,agent-140,agent-141,agent-142,agent-143,agent-144,agent-145,agent-146,agent-147,agent-148,agent-149
0,0,58,97,2,50,2,2,94,52,6,53,93,58,25,26,32,74,89,72,75,16,88,91,75,1,13,64,63,81,13,20,2,68,75,26,87,46,23,38,40,63,76,11,90,30,38,84,23,9,27,28,81,91,23,0,25,72,46,58,77,27,98,93,17,3,2,13,57,12,86,96,79,73,70,86,67,59,77,96,4,90,51,96,71,7,78,94,41,55,27,2,90,7,7,42,45,69,20,23,5,85,89,4,34,0,69,71,92,31,1,99,99,15,83,69,79,26,94,25,35,27,87,36,45,49,1,80,76,73,64,94,13,8,10,5,56,22,58,86,85,59,62,79,84,38,30,2,13,4,44,80
0,1,58,97,2,50,2,2,94,52,6,53,93,58,25,26,32,74,89,72,75,16,88,91,75,23,44,65,69,80,19,62,5,67,27,25,12,49,27,34,42,67,77,15,74,37,62,87,50,5,20,22,98,29,22,54,22,72,46,58,77,27,98,93,17,3,2,13,57,12,86,96,79,73,70,86,67,59,77,96,4,90,51,96,71,7,78,94,41,42,57,8,96,6,17,48,49,62,24,27,42,82,86,17,37,0,69,71,92,31,1,99,99,15,83,69,79,26,94,25,35,25,89,86,49,74,6,62,76,73,64,94,13,8,10,5,56,20,56,85,89,59,62,79,84,78,99,2,13,4,44,40
0,2,50,93,85,98,65,97,17,55,83,59,69,89,24,29,36,73,32,76,73,38,45,93,74,23,44,65,69,80,19,62,5,67,27,25,12,49,27,34,42,67,77,15,74,37,62,87,50,5,20,22,98,29,22,54,22,72,46,58,77,27,98,93,17,3,2,13,57,12,86,96,79,88,76,55,28,51,91,92,7,77,15,97,78,9,57,62,44,42,57,8,96,6,17,48,49,62,24,27,42,82,86,17,37,0,69,71,92,31,1,99,99,46,55,63,75,25,55,22,38,25,89,86,49,74,6,62,76,73,64,94,13,63,14,9,54,20,56,85,89,59,62,96,42,78,99,2,18,4,59,32
0,3,50,93,85,98,65,97,17,55,83,59,69,89,24,29,36,73,32,76,73,38,45,93,74,23,44,65,69,80,19,62,5,67,27,25,12,49,27,34,42,25,75,19,42,38,69,63,82,4,22,47,97,35,24,75,21,72,46,58,77,27,98,93,17,3,2,13,57,12,86,96,79,88,76,55,28,51,91,92,7,77,15,97,78,9,57,62,44,42,57,8,96,6,17,48,49,61,24,26,41,81,87,61,31,0,69,71,92,31,1,99,99,46,55,63,75,25,55,22,38,25,89,86,49,24,7,69,98,73,64,94,13,63,14,9,54,20,56,88,11,59,62,96,42,78,22,2,18,6,59,69
0,4,50,93,89,95,48,94,13,55,83,59,69,89,24,29,36,73,32,76,73,38,45,93,74,23,44,65,69,80,19,62,5,67,27,25,12,49,27,34,42,25,75,19,42,38,69,63,82,4,22,47,97,35,24,75,21,72,46,58,77,27,98,93,17,4,38,85,53,83,78,13,70,47,75,79,23,53,90,92,7,77,15,97,78,9,57,62,44,42,57,8,96,6,17,48,49,61,24,26,41,81,87,61,31,0,69,71,92,38,3,94,11,44,54,66,75,25,55,22,38,25,89,86,49,24,7,69,98,73,64,47,24,62,16,9,54,20,56,88,11,59,70,35,42,78,22,2,17,6,81,68
0,5,50,93,89,95,48,94,13,55,83,59,69,89,24,29,36,73,32,76,73,38,45,93,74,23,44,65,69,80,19,62,5,67,27,25,12,49,27,34,42,25,75,19,42,38,69,63,82,4,22,47,97,35,24,75,21,42,47,28,77,56,90,93,0,1,32,7,53,62,71,42,84,47,75,79,23,53,90,92,7,77,15,97,78,9,57,62,44,42,57,8,96,6,17,48,49,61,24,26,41,81,87,61,31,60,39,15,14,35,3,97,19,44,54,66,75,25,55,22,38,25,89,86,49,24,7,69,98,77,50,43,21,62,16,9,54,20,56,88,11,52,11,35,42,78,22,8,17,6,81,68
0,6,50,93,89,95,48,94,13,55,83,59,69,89,24,29,36,73,32,76,73,38,45,93,74,23,44,65,69,80,19,62,5,67,53,28,51,48,20,37,46,25,75,19,42,38,69,63,82,4,22,47,97,35,24,75,21,42,47,28,77,56,90,93,0,1,32,7,53,62,71,42,84,47,75,79,23,53,90,92,7,77,15,97,78,9,57,62,44,42,57,8,96,8,80,20,41,61,24,26,41,81,87,61,31,60,39,15,14,35,3,97,19,44,54,66,75,25,55,22,38,25,89,93,49,24,7,69,98,77,50,43,21,62,16,9,54,20,50,88,11,52,11,35,42,28,22,8,17,3,81,68
0,7,50,93,89,95,48,94,13,55,83,71,17,83,21,28,36,73,32,76,73,38,45,93,74,23,44,65,69,80,19,62,5,67,53,28,51,48,20,37,46,25,75,19,42,38,69,63,82,4,22,47,97,35,24,75,21,42,47,28,77,56,90,93,0,1,32,7,53,62,71,42,84,47,75,79,23,53,90,92,7,77,16,8,77,9,57,62,44,42,57,8,96,8,80,20,41,61,24,26,41,81,87,61,31,60,39,15,14,35,3,97,19,44,54,66,75,28,65,22,38,25,89,93,49,24,7,69,98,77,50,43,21,62,16,19,54,20,50,88,11,52,11,35,52,28,22,8,17,3,81,68
0,8,50,93,89,95,48,94,13,55,83,71,17,83,21,28,36,73,22,76,3,88,72,93,74,23,44,65,69,80,19,62,5,67,53,28,51,48,20,37,46,85,75,19,42,38,69,63,82,4,22,47,97,33,24,75,21,17,44,28,77,56,90,93,0,1,32,7,53,62,71,42,84,47,75,79,23,53,90,92,7,77,16,8,77,9,37,86,44,42,57,8,96,8,80,20,41,67,24,26,41,81,87,35,31,60,39,15,14,35,3,97,19,44,54,66,75,28,65,92,33,25,89,93,49,20,7,69,95,70,50,43,21,62,16,19,44,20,50,88,20,54,11,35,52,28,22,8,17,3,81,68
0,9,50,93,89,95,48,94,13,55,83,71,17,83,21,28,36,73,22,77,93,88,72,93,74,23,44,65,69,80,19,62,5,67,53,28,51,48,20,37,46,85,75,19,42,38,69,63,82,4,22,47,97,33,24,75,21,11,44,28,77,56,90,93,0,51,52,50,53,32,71,42,84,47,75,79,23,53,90,92,7,77,16,8,77,9,37,86,44,42,57,8,96,8,80,20,41,67,24,26,41,81,87,35,31,65,49,15,14,38,3,41,19,44,54,66,75,28,65,92,33,25,89,93,49,20,7,69,95,77,50,19,61,62,16,19,40,20,50,88,20,54,91,35,52,28,22,98,18,3,81,68
