Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139,agent-140,agent-141,agent-142,agent-143,agent-144,agent-145,agent-146,agent-147,agent-148,agent-149,agent-150,agent-151,agent-152,agent-153,agent-154,agent-155,agent-156,agent-157,agent-158,agent-159
0,0,31,2,12,79,81,56,67,92,64,44,13,57,98,59,21,25,94,5,76,79,62,50,97,97,27,80,10,98,7,48,0,52,44,80,90,28,14,29,57,22,81,98,66,40,63,0,97,8,57,56,85,83,25,11,92,94,98,45,33,38,51,28,11,93,77,34,15,22,80,51,23,69,30,1,11,63,96,11,80,97,1,18,94,35,10,47,94,54,69,91,50,25,39,64,8,87,73,25,92,98,36,42,44,96,52,36,10,86,15,81,27,96,71,33,33,1,92,17,66,91,22,58,96,63,21,15,83,39,77,50,88,66,59,26,24,77,25,18,72,75,45,53,59,94,72,7,6,77,89,27,66,23,34,22,33,31,33,39,1,38
0,1,32,4,50,86,78,10,94,98,77,52,17,51,97,53,25,28,60,8,89,73,68,55,95,48,25,87,16,93,1,66,2,59,73,80,90,28,14,29,57,22,81,98,66,40,63,0,97,8,57,56,85,83,25,11,92,94,98,45,33,38,51,28,11,93,77,18,18,85,86,58,26,3,36,45,39,68,93,32,86,22,57,15,99,34,9,17,92,34,54,90,58,27,84,29,2,81,86,25,92,98,36,42,44,96,52,36,10,86,15,81,27,96,71,25,35,7,93,22,63,90,21,57,97,86,18,23,89,30,57,50,88,66,59,26,24,77,25,17,70,73,5,85,57,84,34,7,6,77,89,77,51,67,32,22,33,36,33,39,1,34
0,2,37,4,50,86,78,10,94,98,77,52,17,51,97,53,25,28,60,8,89,73,68,55,95,48,25,87,16,93,1,66,2,59,73,80,90,28,14,29,57,22,81,98,66,40,63,0,97,8,57,71,97,68,14,74,98,73,91,49,37,76,17,26,75,28,53,6,13,83,88,0,28,5,39,44,34,69,96,16,83,35,42,15,99,34,9,17,92,34,54,90,58,27,84,29,2,81,86,25,92,98,36,42,44,96,52,30,49,86,14,88,24,53,75,26,34,82,99,25,69,19,29,57,97,86,18,23,89,30,57,50,88,66,59,49,98,71,27,14,76,79,60,85,57,84,34,7,6,76,17,59,53,67,32,22,38,31,33,84,3,32
0,3,31,4,50,86,78,10,94,98,77,52,17,51,97,53,25,28,60,8,89,73,68,55,95,48,25,87,16,93,1,66,2,59,73,80,90,28,14,29,57,22,81,98,66,40,63,0,97,8,57,71,97,68,14,74,98,73,91,49,37,76,17,26,75,28,53,20,86,86,81,23,21,57,35,62,26,61,90,61,83,76,42,15,99,34,9,17,92,34,54,90,58,27,84,29,2,81,86,25,92,98,36,42,44,96,52,30,49,86,14,88,24,53,75,81,38,82,95,23,65,45,92,57,97,86,18,23,89,30,57,50,88,66,59,49,98,71,27,17,71,76,68,85,57,84,34,7,6,76,17,55,53,67,32,22,38,36,33,84,3,37
0,4,31,8,8,38,53,38,93,97,85,75,39,50,91,57,20,22,0,8,89,73,68,55,95,48,25,87,16,93,1,66,2,59,73,80,90,28,14,29,57,22,81,98,66,40,63,0,97,8,57,71,97,68,14,74,98,73,91,49,37,76,17,26,75,28,53,20,86,86,81,23,21,57,35,62,26,61,90,61,83,76,42,19,96,31,93,78,97,88,58,90,58,27,84,29,2,81,86,25,92,98,36,42,44,96,52,30,49,86,14,88,24,53,75,81,38,82,95,23,65,45,92,39,90,4,32,23,89,30,57,50,88,66,59,49,98,71,27,17,71,76,68,49,21,84,34,7,6,76,17,55,53,30,32,22,38,36,39,84,8,37
0,5,31,8,8,38,53,38,93,97,85,75,39,50,91,57,20,22,0,8,89,73,68,55,95,48,25,87,16,93,1,66,2,59,73,80,90,28,14,6,55,54,85,98,66,40,63,0,97,8,57,61,90,65,14,74,98,43,96,49,37,76,17,26,75,28,53,20,86,86,81,23,21,57,35,62,26,61,90,61,83,76,42,19,96,31,93,78,97,88,58,90,58,27,84,29,2,81,86,25,92,92,51,42,44,96,52,32,42,86,19,88,24,53,75,81,38,82,95,23,65,45,92,39,90,4,32,23,89,30,57,50,71,66,59,30,98,71,27,17,71,76,68,49,21,84,34,3,6,85,17,55,53,30,32,92,31,36,39,17,8,37
0,6,31,8,8,38,53,38,93,97,85,75,49,50,95,57,20,27,50,54,12,52,18,55,95,88,35,87,13,93,1,66,2,59,73,80,90,28,14,6,55,54,85,98,66,40,63,0,97,8,57,61,90,65,14,74,98,43,96,49,37,76,17,26,75,28,53,20,86,86,81,23,21,57,35,62,26,61,90,61,83,76,42,19,96,31,93,78,96,88,40,70,87,38,4,85,2,81,86,25,92,92,51,42,44,96,52,32,42,86,19,88,24,53,75,81,38,82,95,23,65,45,92,39,90,2,33,93,29,52,57,50,71,66,59,30,98,71,27,17,71,76,68,49,21,40,36,3,6,85,17,55,53,37,31,92,31,36,33,17,8,32
0,7,31,8,8,38,53,38,93,97,85,75,49,50,95,57,20,27,50,58,52,52,24,55,95,88,35,84,13,93,41,90,2,59,63,80,90,28,14,6,55,54,85,92,49,43,77,0,97,8,57,61,90,65,14,74,98,43,96,49,37,76,17,26,75,28,53,20,86,86,81,23,21,57,35,62,26,61,90,61,83,76,42,19,96,31,93,78,96,88,40,70,87,38,4,95,92,81,26,25,92,92,51,55,43,96,52,32,42,86,19,88,24,53,75,81,38,82,95,23,65,45,92,39,90,2,33,93,29,56,63,50,71,93,59,30,98,71,27,17,71,76,68,49,21,40,32,3,2,85,17,55,53,37,31,92,31,36,39,16,8,32
0,8,31,8,8,38,53,38,93,97,85,75,49,50,95,57,20,27,50,58,52,52,24,55,95,88,35,84,13,93,41,90,2,59,63,28,70,28,14,21,65,54,86,92,49,43,77,0,97,8,57,61,90,65,14,74,98,43,96,49,37,76,17,26,75,28,53,20,86,86,81,23,21,57,35,62,26,61,90,61,83,76,42,19,96,31,93,78,96,88,40,70,87,38,4,95,92,81,26,28,22,97,51,55,43,96,52,32,42,86,19,88,24,53,75,81,38,82,95,23,65,45,92,39,90,2,33,93,29,56,63,29,70,93,59,30,98,71,27,17,71,76,68,49,21,40,32,9,2,85,17,55,53,37,31,92,31,36,39,66,8,32
0,9,31,8,8,38,53,38,93,97,85,75,49,50,95,57,20,27,50,58,52,52,24,55,95,88,35,84,13,93,41,90,2,59,63,28,70,28,14,21,65,54,86,94,45,45,77,10,97,28,63,61,90,65,14,74,98,43,96,49,37,76,17,26,75,28,53,20,86,86,81,23,21,57,35,62,26,61,90,61,83,76,42,19,96,31,93,78,96,88,40,70,87,38,4,95,92,81,26,28,22,97,51,85,43,75,55,32,42,86,19,88,24,53,75,81,38,82,95,23,65,45,92,39,90,2,33,93,29,56,63,29,70,93,58,30,98,71,27,17,71,76,68,49,21,40,32,9,2,85,17,55,53,37,31,12,31,36,39,66,8,32
