Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139,agent-140,agent-141,agent-142,agent-143,agent-144,agent-145,agent-146,agent-147,agent-148,agent-149,agent-150,agent-151,agent-152,agent-153,agent-154,agent-155,agent-156,agent-157,agent-158,agent-159,agent-160,agent-161,agent-162,agent-163,agent-164,agent-165,agent-166,agent-167,agent-168,agent-169
0,0,84,11,87,98,3,3,98,86,81,81,39,99,4,3,83,5,3,75,23,66,20,79,32,43,86,74,86,52,30,82,40,85,2,23,8,52,66,45,17,84,2,33,46,38,20,52,49,39,55,41,4,53,97,24,82,44,11,79,98,17,21,56,59,39,40,4,86,39,95,89,29,48,80,43,72,49,23,39,69,61,5,11,85,85,66,46,31,26,4,11,16,48,11,95,56,24,13,18,56,82,48,72,6,34,23,5,66,55,85,45,79,8,96,23,4,62,90,54,13,16,17,84,73,86,11,36,65,25,89,31,98,37,13,43,8,60,78,46,48,2,15,62,44,41,39,55,43,3,8,8,45,61,33,46,76,0,63,26,28,68,28,59,86,82,68,77,11,93,47,69
0,1,88,12,80,12,69,57,68,84,16,96,75,90,9,4,89,2,25,76,27,55,25,76,39,51,70,77,84,58,35,14,48,81,19,25,10,53,64,48,15,80,9,39,49,38,20,52,49,39,55,41,4,53,97,24,82,44,11,79,98,17,21,56,59,39,40,4,86,39,95,89,29,48,80,43,72,45,70,35,98,23,12,19,84,87,88,20,35,44,10,84,18,43,4,17,51,29,71,11,9,61,49,24,1,61,26,46,93,55,85,45,79,8,96,23,4,62,90,54,13,16,17,84,73,63,13,42,63,28,6,37,98,37,19,64,6,67,74,47,40,2,15,62,44,41,39,55,43,6,53,0,41,5,36,93,76,0,63,26,28,66,75,35,86,82,68,87,10,93,40,62
0,2,88,12,80,12,69,57,68,84,16,96,75,94,7,8,87,1,28,74,24,57,21,73,30,86,72,51,89,59,92,95,46,87,76,21,16,51,67,42,11,88,0,34,40,38,20,52,49,39,55,41,4,53,97,24,82,44,11,79,98,90,23,57,58,33,98,72,88,82,99,80,24,93,82,51,68,45,70,35,98,23,12,19,84,87,88,20,35,44,10,84,18,47,2,11,10,23,78,16,76,69,43,21,3,69,23,49,91,55,85,45,79,8,96,23,4,99,18,78,15,19,12,53,76,63,13,42,63,28,6,37,98,31,15,67,3,67,73,48,44,2,15,62,44,69,92,52,78,6,53,0,41,0,30,68,79,0,63,96,28,66,75,35,86,82,64,87,19,92,48,63
0,3,88,12,80,12,69,57,68,84,16,96,75,94,7,8,87,1,28,74,24,57,21,73,30,86,72,51,89,51,19,94,49,83,79,22,13,66,80,49,13,87,1,36,43,38,20,52,49,39,55,41,4,53,97,24,82,44,11,79,98,90,23,57,58,33,98,72,88,82,99,80,24,93,82,51,68,45,70,35,98,23,12,19,84,87,88,20,35,44,10,84,18,47,2,11,10,23,78,16,76,63,41,12,7,70,38,43,98,55,85,45,79,8,96,23,4,99,18,78,15,19,12,53,76,63,13,42,63,28,6,37,98,31,15,67,3,63,76,48,47,2,15,62,44,69,92,52,78,6,53,0,41,0,30,62,71,0,63,96,28,66,75,35,81,82,64,87,10,92,48,63
0,4,88,12,80,12,69,57,68,84,16,96,75,94,7,8,87,1,28,74,24,57,21,73,30,86,72,51,89,51,19,94,49,83,79,22,13,66,80,49,13,87,1,36,43,38,20,52,49,39,55,41,4,84,96,37,81,44,11,8,95,56,59,57,58,30,3,85,88,84,93,83,25,93,86,35,9,45,70,35,98,23,12,19,84,87,88,20,35,44,10,84,18,47,2,11,10,23,78,16,76,63,41,12,7,70,38,43,98,55,85,45,79,81,90,23,4,54,15,76,19,19,14,23,70,63,13,42,63,28,6,37,98,31,15,67,3,63,76,48,47,2,15,1,92,29,93,52,78,6,53,0,41,0,30,62,71,0,68,96,25,66,75,35,81,83,64,87,10,92,48,69
0,5,88,12,80,11,17,90,16,84,8,10,97,94,7,8,87,1,28,74,24,57,21,73,30,86,72,51,89,51,19,94,49,83,79,22,13,66,80,49,13,87,1,36,43,38,20,52,49,39,55,41,4,11,99,35,89,26,14,8,92,56,59,57,58,30,3,85,88,84,93,83,25,93,86,35,9,45,70,35,98,23,12,19,84,87,88,20,35,34,73,34,14,47,2,11,10,23,78,16,76,63,41,12,7,70,38,43,98,55,85,45,79,86,90,94,6,54,15,76,19,19,14,23,70,63,13,42,63,28,6,34,42,31,15,67,3,63,76,48,47,2,15,0,98,29,93,52,78,6,53,0,48,0,30,62,71,0,61,96,25,66,70,35,81,89,64,84,10,98,48,63
0,6,88,12,80,11,17,90,16,84,8,10,97,94,7,8,87,1,28,74,24,57,21,73,30,86,72,51,89,51,19,94,49,83,79,22,13,61,80,44,14,87,1,36,43,38,20,52,49,39,55,41,4,11,99,35,89,26,14,8,92,56,59,57,58,30,3,85,88,84,93,83,25,93,86,35,9,41,30,35,98,23,12,14,86,87,88,20,35,34,73,34,14,47,2,11,10,23,78,16,76,63,41,12,7,76,76,43,98,55,85,45,79,86,90,94,6,54,15,76,19,19,14,23,70,93,18,42,32,28,6,34,42,31,15,67,3,63,76,44,47,2,15,0,98,29,93,52,78,75,41,0,48,0,30,62,79,0,61,96,25,6,70,35,81,89,64,84,11,98,48,63
0,7,88,12,31,51,19,97,19,84,8,10,97,94,7,8,87,1,28,74,24,57,21,73,30,86,72,51,89,51,19,94,49,83,79,22,13,61,80,44,14,87,1,36,43,38,20,52,49,39,55,41,4,11,99,35,89,26,14,8,92,56,59,57,58,30,3,85,88,84,93,83,25,93,86,35,9,41,30,35,98,55,42,19,86,87,48,20,17,9,76,34,14,47,2,11,10,23,78,16,76,63,41,12,7,76,76,43,98,55,85,45,79,86,90,94,6,54,15,76,19,19,14,23,70,93,18,12,38,28,59,34,42,31,15,67,3,63,76,44,47,2,15,0,98,29,93,52,78,75,40,53,41,0,30,62,79,0,61,96,25,6,70,35,81,89,64,84,11,98,48,63
0,8,88,12,31,51,19,97,19,84,8,10,97,94,7,8,87,1,28,74,24,57,21,73,30,86,72,51,89,51,19,94,49,83,79,22,13,61,80,44,14,87,1,36,43,38,82,30,49,39,55,41,4,11,99,35,89,26,14,8,92,56,59,57,58,30,3,85,88,84,93,83,25,93,86,35,9,41,30,35,98,55,42,19,86,87,48,20,17,9,76,34,14,47,2,11,10,23,78,16,76,63,41,12,7,76,76,43,98,55,80,45,79,86,90,94,6,54,15,76,19,19,14,23,70,93,18,12,38,28,59,34,42,31,15,67,3,63,76,44,47,5,15,0,98,29,93,52,78,75,40,53,41,0,30,62,79,4,61,96,25,6,70,35,81,86,64,84,11,98,48,63
0,9,88,12,31,51,19,97,19,84,8,10,97,94,7,8,87,1,28,74,24,57,21,73,30,86,72,51,89,51,19,94,49,83,79,22,13,61,80,44,14,87,1,36,43,38,82,33,9,49,55,91,69,11,99,35,89,26,14,8,92,56,59,57,58,30,3,85,88,84,93,83,25,93,86,35,9,41,30,35,90,55,42,12,86,87,48,20,17,9,76,34,14,47,2,11,10,23,78,16,76,63,41,12,7,76,76,43,98,55,80,25,79,86,90,94,6,54,15,76,19,19,14,23,70,93,8,12,32,28,59,34,42,31,15,67,3,63,76,44,47,9,95,0,98,29,93,52,78,75,41,53,41,0,30,62,79,4,61,96,25,6,70,35,81,86,64,84,11,98,48,63
