Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139,agent-140,agent-141,agent-142,agent-143,agent-144,agent-145,agent-146,agent-147,agent-148,agent-149,agent-150,agent-151,agent-152,agent-153,agent-154,agent-155,agent-156,agent-157,agent-158,agent-159,agent-160,agent-161,agent-162,agent-163,agent-164,agent-165,agent-166,agent-167,agent-168,agent-169,agent-170,agent-171,agent-172,agent-173,agent-174,agent-175,agent-176,agent-177,agent-178,agent-179
0,0,69,20,44,95,67,76,0,14,57,2,81,7,57,19,57,35,26,38,92,21,53,72,13,17,24,30,9,48,25,49,80,67,72,50,22,28,55,57,92,90,35,22,87,80,32,68,56,85,81,67,23,94,21,70,31,56,64,56,54,30,20,80,82,42,68,31,75,93,14,23,12,34,60,13,81,84,85,83,91,20,29,46,12,7,34,88,70,79,6,69,51,90,48,3,4,84,87,3,32,16,46,54,99,7,6,67,57,14,63,60,27,46,91,75,71,8,71,73,65,79,99,31,42,8,98,52,7,35,6,33,23,36,10,53,43,37,70,60,30,68,63,99,75,83,65,67,24,46,36,31,7,9,30,96,65,71,3,45,32,32,4,80,74,66,86,27,22,91,99,80,19,54,85,73,25,13,67,75,74,39
0,1,65,29,97,44,63,91,79,19,82,9,89,3,98,12,53,30,55,34,97,20,87,56,15,78,89,37,4,44,27,32,86,34,60,58,40,21,57,59,96,55,34,24,88,87,23,80,66,80,6,93,66,90,20,70,31,56,64,56,54,30,20,80,82,42,68,31,75,93,14,23,12,34,60,13,81,84,85,83,91,20,29,46,12,7,34,47,72,46,45,65,53,95,43,74,6,89,31,0,43,13,49,12,97,82,7,5,69,13,69,65,26,38,93,74,73,3,79,73,65,79,99,31,42,8,98,52,7,35,6,33,23,36,10,58,42,35,79,62,35,66,10,52,74,8,17,66,20,43,93,31,7,9,30,96,65,71,3,76,98,30,19,43,1,57,81,27,22,91,99,82,10,59,48,73,25,12,79,75,71,31
0,2,65,29,97,44,63,91,79,19,82,9,89,3,98,12,53,30,55,34,97,20,87,33,14,75,42,32,8,47,23,63,83,38,83,29,45,29,56,59,96,55,34,24,88,87,23,80,66,80,6,93,66,90,20,70,36,57,12,63,55,16,23,89,39,73,92,8,78,99,11,23,12,34,60,13,81,84,85,83,91,20,29,46,12,7,34,47,72,46,45,65,53,95,43,74,6,89,31,0,43,13,49,60,91,18,92,58,70,35,67,65,26,38,93,74,73,3,79,18,65,73,95,68,41,40,45,52,7,35,6,33,23,36,10,58,42,35,79,62,35,66,10,81,68,6,12,66,20,43,93,75,4,36,33,96,65,71,3,76,98,30,19,0,79,57,81,23,27,91,99,82,10,55,48,10,25,12,78,79,75,18
0,3,65,29,97,44,63,91,79,19,82,9,89,3,98,12,53,30,55,34,97,20,87,33,14,75,42,32,8,47,23,63,83,38,83,29,45,29,56,59,96,55,34,24,88,87,23,80,66,80,6,93,66,90,20,70,36,57,12,63,55,16,23,89,42,76,90,76,79,92,72,37,16,19,63,86,15,87,5,81,4,77,18,41,16,2,91,47,72,46,45,65,53,95,43,74,6,89,31,0,43,13,49,60,91,18,92,58,70,35,67,65,26,38,93,74,73,3,79,18,65,73,95,46,49,47,48,10,0,31,21,47,43,67,87,58,42,35,79,62,35,66,10,81,68,6,12,66,20,43,93,75,4,33,33,47,69,73,3,76,98,30,19,0,79,57,81,23,27,51,99,82,10,55,48,10,22,12,78,79,75,11
0,4,65,29,97,44,63,91,79,19,82,9,89,3,98,12,53,30,55,34,97,20,87,33,14,75,42,32,8,47,23,63,83,38,83,29,45,29,56,56,95,6,39,35,87,89,68,80,66,80,6,93,66,90,20,70,36,57,12,63,55,16,23,89,42,76,90,76,79,92,72,37,16,19,63,86,15,87,5,81,4,77,18,41,16,2,91,47,72,46,45,65,53,95,43,74,6,89,31,0,43,13,49,60,91,18,92,58,70,35,67,63,22,37,99,74,73,3,79,18,65,73,95,46,49,47,48,10,0,31,21,47,43,67,87,58,42,35,79,62,35,66,10,81,68,6,12,66,29,43,93,75,4,33,33,47,69,73,3,76,98,30,19,0,79,56,81,23,27,51,99,82,10,55,40,10,22,12,13,79,70,11
0,5,65,29,97,44,63,91,79,19,82,9,89,3,98,12,53,30,55,34,97,20,87,33,14,75,42,32,8,47,23,63,83,38,83,29,45,29,56,53,94,6,39,35,87,89,68,83,66,42,6,93,66,90,20,70,36,57,12,63,55,16,23,89,42,76,90,76,79,92,72,37,16,19,63,86,15,87,5,81,4,77,18,41,16,2,91,47,72,46,45,65,53,95,43,74,6,89,31,0,43,13,49,60,91,18,92,58,70,35,67,63,22,37,99,65,79,3,79,18,65,73,95,46,49,47,48,10,0,31,21,47,43,67,87,58,42,35,79,62,35,66,10,81,68,6,12,66,29,41,93,75,4,33,33,47,69,73,3,76,98,30,19,0,79,58,83,23,27,51,99,82,10,55,89,10,22,12,16,79,77,11
0,6,65,29,97,44,63,91,79,19,82,9,89,3,98,12,53,30,55,34,97,20,87,33,14,75,42,32,8,47,23,63,83,38,83,29,45,29,56,53,94,6,39,35,87,89,68,83,66,42,6,93,66,90,20,80,36,55,13,63,55,16,23,89,42,76,90,76,74,14,76,37,16,19,63,86,15,87,5,81,4,77,18,41,16,2,91,47,72,46,45,65,53,95,43,74,6,89,31,0,43,13,49,60,91,18,92,58,70,35,67,63,22,37,99,65,79,3,79,10,63,73,95,46,49,40,48,10,0,31,21,47,43,67,87,58,42,35,79,62,35,66,10,81,68,6,12,66,29,41,93,72,4,33,34,47,69,73,3,76,98,30,19,0,79,58,83,23,22,51,99,82,10,55,89,10,22,12,16,79,77,11
0,7,65,29,97,44,63,91,79,19,82,69,84,83,96,12,73,39,55,34,53,20,87,33,14,75,42,32,8,47,23,63,83,38,83,29,45,29,56,53,94,6,39,35,87,89,68,83,66,42,6,93,66,90,20,88,36,55,13,69,55,96,23,89,22,66,30,76,74,14,76,37,16,19,63,86,15,87,5,81,4,77,18,41,16,2,91,47,72,46,45,65,53,95,43,74,6,89,1,20,31,14,49,60,91,18,92,58,70,35,67,63,22,37,99,65,79,3,79,18,65,73,95,46,47,40,48,10,0,31,21,47,43,67,87,58,42,35,79,62,68,26,30,81,68,6,12,66,29,41,93,72,6,90,34,47,69,73,3,76,98,31,89,0,79,58,83,23,25,51,99,82,18,55,89,10,22,12,16,79,76,11
0,8,65,29,97,44,63,91,79,19,82,69,84,83,96,12,73,39,55,34,53,20,87,34,31,75,42,32,8,47,23,63,83,38,83,29,45,29,56,53,94,6,39,35,87,89,68,83,66,42,6,93,66,90,20,88,36,55,13,69,55,96,23,89,22,66,30,76,74,14,76,37,16,19,63,86,15,87,5,81,4,77,18,41,16,2,91,47,72,46,45,65,53,95,43,74,6,89,1,20,31,14,49,67,91,18,92,58,70,35,67,63,22,37,99,65,79,3,79,18,65,73,95,46,47,40,48,10,0,31,21,47,43,67,87,58,42,35,79,62,68,26,30,84,68,6,12,66,29,41,93,72,6,90,34,47,69,73,3,76,98,31,89,36,79,58,83,23,25,51,99,82,18,55,89,10,22,12,16,79,71,11
0,9,65,29,97,44,63,91,79,19,82,69,84,83,96,12,73,39,55,34,53,20,87,34,31,75,42,32,8,47,23,63,83,38,83,29,45,29,56,53,94,66,39,35,87,89,76,83,66,52,43,6,7,40,90,88,36,55,13,69,55,96,23,89,22,66,30,76,74,14,76,37,16,19,63,86,15,87,5,81,4,77,18,41,16,2,91,47,72,46,45,65,53,95,43,74,6,89,1,20,31,14,49,67,91,18,92,58,70,35,67,63,22,37,99,65,79,3,35,18,65,73,95,46,47,40,48,10,0,31,21,47,43,67,87,58,42,35,79,62,68,26,30,84,68,6,12,56,29,41,13,72,6,90,34,47,69,73,3,76,98,31,89,36,79,54,82,23,25,51,99,82,18,55,43,10,22,12,16,79,74,11
