Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.0,10,9,11,8,11
1,0.0,6,6,5,4,6
2,0.0,5,7,9,9,10
3,0.0,3,2,0,3,1
4,0.0,7,5,7,5,6
5,0.0,4,6,4,4,4
6,0.0,9,8,8,7,11
7,0.0,10,6,6,5,4
8,0.0,5,4,6,5,8
9,0.0,5,3,3,3,4
10,0.0,6,8,7,5,6
11,0.0,3,4,4,3,3
12,0.0,8,9,11,10,11
13,0.0,6,9,7,7,5
14,0.0,14,15,17,14,13
15,0.0,6,7,3,7,5
16,0.0,9,10,11,8,8
17,0.0,4,6,4,6,6
18,0.0,5,3,2,5,5
19,0.0,8,7,11,10,8
20,0.0,6,3,3,3,8
21,0.0,4,5,3,4,4
22,0.0,6,5,5,7,7
23,0.0,7,7,6,7,4
24,0.0,7,10,11,10,8
25,0.0,5,7,7,8,3
26,0.0,10,9,10,11,8
27,0.0,4,7,7,6,8
28,0.0,10,6,6,8,8
29,0.0,8,7,6,8,7
