Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139,agent-140,agent-141,agent-142,agent-143,agent-144,agent-145,agent-146,agent-147,agent-148,agent-149,agent-150,agent-151,agent-152,agent-153,agent-154,agent-155,agent-156,agent-157,agent-158,agent-159,agent-160,agent-161,agent-162,agent-163,agent-164,agent-165,agent-166,agent-167,agent-168,agent-169,agent-170,agent-171,agent-172,agent-173,agent-174,agent-175,agent-176,agent-177,agent-178,agent-179,agent-180,agent-181,agent-182,agent-183,agent-184,agent-185,agent-186,agent-187,agent-188,agent-189,agent-190,agent-191,agent-192,agent-193,agent-194,agent-195,agent-196,agent-197,agent-198,agent-199
0,0,15,13,18,16,11,0,0,12,0,25,10,27,28,11,17,20,1,5,17,0,24,7,12,11,0,18,7,5,15,18,12,5,11,7,9,25,29,29,18,10,12,4,5,3,27,26,25,12,22,17,2,6,12,4,25,11,3,13,8,18,11,23,8,6,5,1,22,28,23,28,24,27,10,7,4,19,19,21,18,24,18,8,25,13,29,6,22,3,17,18,28,17,21,7,6,2,29,19,0,6,6,2,21,29,5,20,3,1,20,7,6,0,22,3,19,25,5,28,23,0,24,4,19,9,13,9,6,24,27,29,23,1,23,19,6,2,4,13,0,8,19,29,18,29,14,16,15,25,15,1,23,10,22,9,23,4,20,2,24,5,26,25,28,22,12,1,22,17,19,19,24,16,11,16,18,24,25,11,1,15,8,7,21,9,18,3,26,15,4,25,14,5,19,1,18,7,12,2,24,23
0,1,15,13,18,16,11,0,0,12,0,25,10,27,28,11,17,20,1,5,17,0,24,7,12,11,0,18,7,5,15,18,12,5,11,7,9,25,29,29,18,10,12,22,18,21,24,14,17,9,8,17,18,27,2,22,12,27,3,22,16,10,1,25,8,25,22,23,17,24,17,7,25,26,25,7,4,19,19,21,18,24,18,8,25,13,29,6,22,3,17,18,28,17,21,7,6,2,29,19,0,6,6,2,21,29,5,20,3,1,20,7,6,0,22,3,19,25,5,28,23,0,24,12,20,28,5,24,15,6,16,24,12,8,10,1,22,22,0,13,0,8,19,29,18,29,14,16,15,25,15,1,23,10,22,9,23,4,20,2,24,5,26,27,1,26,9,11,1,27,10,19,24,16,11,16,18,24,25,11,1,15,8,24,25,1,10,3,26,15,4,25,14,5,19,1,18,7,12,2,25,0
0,2,15,13,18,16,11,0,0,12,0,8,15,26,12,15,7,8,20,16,0,18,26,19,13,8,28,16,20,28,23,11,29,7,5,3,10,26,25,5,25,19,19,22,18,21,24,14,17,9,8,17,18,27,2,22,12,27,3,24,27,25,19,4,20,25,0,22,2,16,4,20,7,3,24,7,4,19,19,21,18,24,18,8,25,13,29,6,22,3,17,18,28,17,21,7,6,2,29,19,0,6,6,2,21,29,5,3,5,19,18,13,25,13,24,14,6,13,10,2,14,3,4,12,20,28,5,24,15,6,16,3,28,2,8,22,29,3,9,13,0,8,19,29,18,29,14,16,15,25,15,1,23,10,22,4,6,28,24,3,21,2,18,27,1,26,9,23,5,5,0,19,24,16,11,16,18,24,25,8,20,18,3,24,25,18,12,3,26,15,4,24,6,5,22,1,18,7,10,2,4,0
0,3,15,13,18,16,11,0,0,12,0,8,15,26,12,15,7,8,20,16,0,18,26,19,13,8,28,16,26,2,19,19,23,13,15,24,23,26,10,16,7,17,3,22,18,21,24,14,17,9,8,17,18,27,2,22,12,27,3,24,27,25,19,4,20,25,0,22,2,16,4,20,7,3,24,14,18,9,28,15,11,17,26,14,14,2,24,26,1,26,26,18,28,17,21,7,6,2,29,19,0,6,6,2,21,29,5,3,5,19,18,13,25,13,24,26,15,25,16,4,0,14,16,12,20,28,5,24,15,6,16,3,28,2,8,22,29,3,9,28,4,26,15,4,14,24,18,16,15,25,15,1,23,10,22,4,6,28,24,22,2,7,3,27,1,26,9,23,5,5,0,27,28,26,26,16,18,24,25,8,20,28,26,24,25,18,12,24,8,15,4,24,6,5,22,2,18,14,10,0,4,0
0,4,15,2,4,6,11,3,5,23,5,8,15,26,12,15,7,8,20,16,0,18,26,19,13,8,28,16,26,2,19,19,23,13,15,24,23,26,10,16,7,17,3,22,18,21,24,14,17,9,8,17,18,27,2,22,12,27,3,24,27,25,19,4,20,25,0,22,2,16,4,20,7,3,24,27,15,9,19,9,29,17,11,21,10,0,25,14,9,28,10,18,28,17,21,7,6,2,29,19,0,6,6,1,5,8,12,3,5,19,18,13,25,13,24,26,15,25,16,4,0,14,16,12,20,28,5,24,15,6,16,3,28,2,8,22,29,3,9,19,19,17,4,16,6,2,16,16,15,25,15,1,23,18,13,4,6,28,24,22,2,7,3,27,1,26,9,23,5,5,0,27,26,7,26,16,18,24,25,8,20,28,26,24,25,18,12,12,29,15,16,24,6,5,22,0,14,14,10,17,4,3
0,5,15,2,4,6,11,3,5,23,5,7,15,3,19,0,15,29,3,16,0,18,26,19,13,8,28,16,26,2,19,19,23,13,15,24,23,26,10,16,7,17,3,22,18,21,24,14,17,9,8,5,11,27,17,4,6,13,11,24,27,25,19,4,20,25,0,22,2,16,4,20,7,3,24,27,15,9,19,9,29,17,11,24,4,25,28,13,24,4,29,18,28,17,21,7,6,2,29,19,0,6,6,1,5,8,12,20,28,2,14,13,25,13,24,26,15,25,16,4,0,14,16,12,20,28,5,13,4,1,20,3,28,2,8,22,29,3,9,19,19,17,4,4,6,2,14,16,15,25,15,1,23,18,13,10,20,28,24,22,2,7,3,27,1,2,23,23,5,5,0,27,26,1,26,16,18,24,25,6,20,28,26,24,6,18,12,12,1,15,16,5,6,5,22,0,14,14,1,17,4,23
0,6,15,2,4,6,11,3,5,23,5,26,29,7,19,0,18,11,22,4,4,18,10,20,25,28,11,16,26,2,19,19,23,13,15,24,23,26,10,16,7,17,3,22,18,21,24,14,17,9,8,5,11,27,17,4,6,13,11,24,27,25,19,4,20,25,0,22,2,16,4,20,7,3,24,27,15,9,19,9,29,17,11,24,4,25,28,13,24,4,29,18,28,17,21,7,6,2,29,19,0,6,6,1,5,8,12,27,0,25,25,13,26,27,14,26,15,25,16,4,0,14,16,12,20,28,5,13,4,1,20,3,28,2,8,22,29,3,9,19,19,17,4,4,6,2,14,16,15,25,15,1,23,18,13,10,20,3,24,22,2,7,3,27,1,2,23,23,5,5,0,27,26,1,26,16,18,24,25,27,20,28,26,24,6,18,12,12,1,15,16,5,6,5,22,0,14,14,1,17,4,23
0,7,15,2,4,6,11,3,5,23,5,26,29,7,19,0,18,11,22,4,4,18,10,20,25,28,11,16,26,2,19,19,23,13,15,24,23,26,10,16,7,17,3,22,18,21,24,14,17,9,8,8,9,7,28,10,6,17,5,24,27,25,19,4,20,25,0,4,24,16,8,20,17,3,15,27,15,9,19,9,29,17,11,24,4,25,28,13,24,4,29,18,28,17,21,7,6,2,29,19,0,6,6,1,5,8,12,27,0,25,25,13,26,27,14,26,15,25,16,4,0,14,16,12,20,28,5,11,27,15,23,3,28,2,8,22,27,24,22,19,19,17,4,4,6,2,14,16,15,25,15,1,23,18,13,10,20,3,24,22,2,7,3,27,1,2,29,23,5,5,1,27,26,1,26,16,18,24,25,27,20,28,26,24,6,18,20,12,1,15,16,5,6,5,22,0,14,14,1,17,23,23
0,8,20,10,11,6,8,19,29,23,5,26,29,7,19,0,18,11,22,4,4,18,10,20,25,28,11,16,26,2,19,19,23,13,15,24,23,26,10,16,7,17,3,22,18,21,24,14,17,9,8,8,9,7,28,10,6,17,5,24,27,25,19,4,20,25,0,4,24,16,8,20,17,3,15,27,15,9,19,9,29,17,11,24,4,25,28,13,24,4,29,18,28,17,21,7,6,2,29,7,0,0,7,7,4,15,12,27,0,25,25,13,26,27,14,26,15,25,16,4,0,14,16,12,20,28,5,11,27,15,23,3,28,2,8,22,27,24,22,19,19,17,4,4,6,2,14,16,15,25,15,8,15,18,1,10,20,3,24,22,2,7,3,27,1,2,29,23,5,5,1,27,26,1,26,16,18,1,25,27,20,28,26,24,6,18,20,12,1,15,16,5,6,5,22,0,7,14,1,13,23,23
0,9,9,10,11,6,8,2,29,17,16,26,29,7,19,0,18,11,22,4,4,18,10,20,25,28,11,16,26,2,19,19,23,13,15,24,23,26,10,16,7,17,3,22,18,21,24,14,17,9,8,8,9,7,28,10,6,17,5,24,27,25,19,4,20,25,0,4,24,16,8,20,17,3,15,27,15,9,19,9,29,17,11,24,4,25,28,13,24,4,29,18,21,8,6,7,6,2,29,7,0,0,7,1,27,12,12,27,0,25,25,13,26,27,14,26,15,25,16,4,0,14,16,12,20,28,5,11,27,15,23,3,28,2,8,22,27,24,22,19,19,17,4,4,6,2,14,18,3,25,15,8,11,18,19,10,20,3,24,22,2,7,3,27,1,2,29,23,5,5,1,27,26,1,26,0,18,1,25,27,20,28,26,24,6,18,20,12,1,2,16,5,6,5,22,0,16,14,1,15,23,6
