Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,NaN,0,2,0,0,1
1,0.0,3,2,0,0,1
2,0.0,1,0,0,0,1
3,0.0,2,0,1,1,1
4,NaN,0,0,0,1,1
5,NaN,0,1,0,0,0
6,NaN,0,0,0,1,1
7,0.0,3,2,2,3,1
8,0.0,1,2,2,0,2
9,0.0,1,0,2,1,2
10,NaN,0,0,1,0,0
11,0.0,1,2,1,2,1
12,0.0,1,0,2,0,0
13,NaN,0,1,1,2,0
14,NaN,0,1,1,2,2
15,NaN,0,1,1,0,0
16,0.0,1,1,0,2,1
17,0.0,2,1,2,1,1
18,0.0,2,0,1,1,0
19,NaN,0,2,1,1,2
20,0.0,1,1,1,1,2
21,0.0,1,1,2,0,3
22,NaN,0,0,2,2,0
23,0.0,3,0,0,1,2
24,NaN,0,0,0,0,1
25,NaN,0,1,1,1,2
26,0.0,2,2,2,2,1
27,0.0,2,3,2,1,1
28,0.0,1,0,0,0,0
29,NaN,0,0,0,1,0
30,0.0,1,0,1,1,0
31,0.0,1,1,1,3,0
32,0.0,1,2,2,1,3
33,NaN,0,1,0,0,0
34,0.0,1,1,1,0,0
35,0.0,2,1,0,1,1
36,0.0,2,2,1,1,2
37,0.0,1,2,3,3,1
38,0.0,1,0,0,0,0
39,NaN,0,2,1,1,1
40,0.0,1,2,2,4,1
41,0.0,2,2,0,0,1
42,NaN,0,1,1,3,2
43,NaN,0,0,2,0,2
44,NaN,0,1,0,1,1
45,0.0,2,1,2,1,1
46,0.0,2,1,1,2,1
47,NaN,0,2,0,1,0
48,0.0,1,3,1,1,1
49,0.0,2,0,2,0,4
50,0.0,2,2,0,1,0
51,NaN,0,2,2,0,2
52,0.0,2,1,0,1,0
53,0.0,1,0,0,0,0
54,0.0,2,0,2,2,1
55,0.0,1,0,0,1,0
56,NaN,0,0,1,0,0
57,0.0,1,0,1,1,3
58,0.0,1,0,3,0,0
59,NaN,0,2,0,1,0
60,NaN,0,0,1,1,0
61,0.0,1,0,2,0,1
62,0.0,1,1,1,0,1
63,0.0,1,3,2,1,1
64,0.0,4,1,2,2,1
65,0.0,2,1,1,2,0
66,0.0,2,3,0,1,1
67,NaN,0,0,0,0,1
68,0.0,1,2,0,1,3
69,0.0,1,2,1,1,0
70,0.0,2,2,2,3,1
71,0.0,1,0,1,1,1
72,0.0,2,1,1,1,2
73,NaN,0,0,1,0,0
74,0.0,1,2,1,1,0
75,NaN,0,0,1,2,1
76,0.0,2,0,1,2,3
77,NaN,0,1,0,0,0
78,NaN,0,1,1,1,1
79,NaN,0,1,2,1,3
80,NaN,0,0,0,2,1
81,NaN,0,0,1,0,1
82,NaN,0,0,0,1,1
83,0.0,1,0,0,1,1
84,0.0,1,2,1,0,0
85,0.0,3,2,2,1,1
86,0.0,1,1,1,1,1
87,NaN,0,1,2,1,1
88,NaN,0,0,1,1,1
89,NaN,0,0,0,1,1
90,NaN,0,1,1,1,1
91,0.0,4,3,1,3,1
92,0.0,1,1,0,1,0
93,0.0,3,0,2,0,1
94,0.0,1,1,0,0,2
95,0.0,1,1,1,1,1
96,NaN,0,1,3,0,1
97,NaN,0,3,0,0,0
98,0.0,3,2,3,5,2
99,0.0,2,2,2,1,3
