Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99
0,0,32,1,23,80,27,72,60,64,65,97,77,65,8,18,71,36,1,38,99,41,23,66,13,47,17,83,69,50,45,71,83,23,6,16,74,98,63,7,88,25,35,44,3,97,76,30,78,43,96,98,31,78,43,81,11,51,45,89,38,41,64,86,39,77,31,27,94,55,58,64,23,81,40,42,78,57,74,51,65,46,36,20,71,95,79,42,26,61,26,99,15,60,92,20,45,49,47,93,9,80
0,1,32,1,23,80,27,72,60,64,65,97,77,65,8,18,71,36,1,38,99,41,23,27,18,31,16,92,30,91,52,76,6,15,20,58,33,99,14,7,88,25,35,44,3,97,76,30,78,43,96,98,31,78,43,81,11,51,45,89,38,41,64,87,43,69,96,86,89,49,43,64,23,81,40,42,78,57,74,51,65,46,36,7,51,6,57,42,26,61,26,99,15,66,73,20,45,49,88,93,32,96
0,2,34,22,53,68,29,72,60,64,65,97,77,65,8,18,71,36,1,38,99,41,23,27,18,31,16,92,30,91,52,76,6,15,20,58,33,99,14,69,42,77,84,55,48,98,92,83,15,57,85,99,53,62,51,81,11,51,45,89,38,41,64,87,43,69,96,86,89,49,43,45,11,61,62,84,95,29,73,51,65,46,36,7,51,6,57,57,37,63,78,99,15,66,73,83,94,49,88,14,32,96
0,3,34,22,53,68,29,72,60,64,65,97,77,65,8,55,64,51,41,1,34,48,23,70,1,20,11,97,31,35,59,76,6,15,20,58,33,99,14,69,42,77,84,55,48,98,92,83,15,57,85,99,53,62,51,81,11,51,45,26,17,1,49,97,43,70,91,86,89,49,43,45,11,61,62,84,95,29,73,51,65,73,28,92,56,6,57,57,37,63,78,99,6,79,73,83,94,55,89,14,32,81
0,4,37,25,40,62,30,72,58,51,5,59,11,65,83,55,64,51,41,1,35,52,37,70,1,20,11,97,31,35,59,76,6,15,20,58,33,99,14,69,42,77,84,55,48,98,92,83,15,57,85,91,80,72,41,81,1,45,45,26,17,1,49,97,43,70,91,86,89,49,43,45,11,61,62,84,95,21,77,96,65,73,33,92,56,6,57,57,37,63,85,62,18,79,73,83,94,47,89,14,30,94
0,5,37,25,40,62,30,72,58,51,5,59,11,65,83,57,64,40,41,1,38,41,51,70,1,20,11,97,31,35,59,70,4,7,37,58,33,99,14,69,42,77,84,55,48,98,92,83,15,57,85,91,80,72,41,81,1,45,45,26,17,2,49,97,43,70,91,78,81,49,43,45,11,61,62,84,95,21,77,96,65,73,32,92,56,11,57,57,37,63,85,62,4,79,73,83,94,47,89,14,30,94
0,6,31,37,44,62,30,72,58,51,5,59,11,65,83,57,64,40,41,1,38,41,51,70,1,20,11,97,31,35,59,70,4,7,37,58,33,99,14,71,47,68,86,58,55,91,83,83,15,57,85,93,98,72,41,81,1,45,45,26,17,2,49,97,43,70,91,78,81,49,43,65,31,61,85,84,95,21,69,96,65,73,32,92,56,11,57,12,27,63,85,62,4,79,73,94,14,47,89,12,30,99
0,7,31,37,44,62,30,72,58,51,5,59,11,65,83,57,64,40,41,1,38,41,51,70,1,20,11,97,31,35,59,70,84,2,34,58,33,97,19,71,47,68,85,58,55,91,92,83,15,57,85,93,98,72,41,81,1,45,45,26,17,2,49,97,43,70,91,73,81,49,48,65,37,21,87,84,95,21,69,96,65,73,32,92,56,7,43,9,27,63,85,62,4,79,73,94,14,47,89,12,34,99
0,8,31,37,44,62,30,72,58,51,5,59,11,65,83,57,64,40,41,1,38,41,51,70,1,20,11,97,26,28,52,70,84,2,34,18,13,92,13,71,47,68,85,58,55,91,92,83,15,57,85,93,98,72,41,81,1,45,45,26,17,2,49,97,43,68,96,73,81,89,48,65,37,21,87,84,95,21,69,96,65,73,32,92,48,7,42,9,27,63,85,62,4,79,33,94,14,47,89,12,34,99
0,9,31,37,44,75,30,72,58,51,5,59,11,65,83,57,64,40,41,1,38,41,51,70,1,20,11,97,26,28,52,70,84,2,34,18,13,92,13,71,46,73,85,58,55,91,92,83,15,57,85,93,98,72,21,81,1,45,45,26,17,2,49,97,43,68,96,73,81,89,48,65,37,21,89,84,95,21,69,96,65,73,32,92,48,7,42,12,27,63,85,62,4,79,33,94,3,47,89,12,34,99
