Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,NaN,0,0,1,0,0
1,0.0,2,2,0,1,3
2,NaN,0,0,1,2,2
3,0.0,1,2,0,1,1
4,0.0,1,0,0,0,1
5,0.0,1,2,0,0,0
6,NaN,0,0,1,0,0
7,NaN,0,0,1,0,0
8,0.0,2,2,4,1,1
9,0.0,2,0,0,1,0
10,NaN,0,0,1,1,0
11,0.0,2,2,0,0,0
12,0.0,2,0,1,0,1
13,0.0,2,2,0,1,1
14,NaN,0,0,1,2,0
15,0.0,2,0,0,1,0
16,NaN,0,2,0,2,1
17,NaN,0,2,4,2,2
18,NaN,0,1,1,0,2
19,0.0,1,0,1,2,2
20,NaN,0,1,0,0,1
21,0.0,3,2,0,0,0
22,0.0,1,0,0,1,1
23,NaN,0,1,2,1,2
24,NaN,0,0,1,1,0
25,0.0,1,0,1,2,0
26,0.0,1,1,2,1,2
27,0.0,1,0,0,0,0
28,0.0,1,5,3,2,1
29,NaN,0,1,0,2,1
30,0.0,1,0,0,0,1
31,0.0,1,0,1,0,1
32,NaN,0,0,0,1,2
33,0.0,1,0,1,3,1
34,NaN,0,0,2,0,0
35,NaN,0,1,1,0,0
36,NaN,0,2,2,2,1
37,0.0,3,1,2,2,2
38,0.0,2,1,0,0,2
39,0.0,1,2,0,0,0
40,0.0,3,2,0,0,2
41,0.0,3,0,1,0,1
42,NaN,0,2,3,3,2
43,0.0,1,3,1,0,0
44,0.0,1,0,1,1,1
45,0.0,2,0,2,0,1
46,0.0,1,1,0,3,0
47,0.0,1,1,3,1,2
48,0.0,1,0,0,0,0
49,NaN,0,1,1,0,2
50,NaN,0,1,1,1,0
51,0.0,2,1,2,4,2
52,0.0,1,0,0,0,0
53,NaN,0,0,0,2,0
54,NaN,0,3,0,3,1
55,0.0,1,0,0,0,1
56,NaN,0,2,1,0,0
57,0.0,2,1,2,1,3
58,0.0,1,2,1,0,1
59,NaN,0,0,1,1,1
60,NaN,0,0,1,0,0
61,0.0,1,0,0,0,0
62,0.0,1,1,0,0,2
63,NaN,0,0,0,2,0
64,0.0,1,3,2,1,2
65,0.0,1,0,1,0,0
66,NaN,0,0,1,1,0
67,NaN,0,0,0,0,0
68,0.0,1,0,1,1,1
69,0.0,2,2,2,0,0
70,0.0,1,3,2,2,0
71,0.0,2,1,3,1,2
72,0.0,3,1,1,0,2
73,0.0,1,0,0,1,2
74,0.0,1,2,2,2,1
75,0.0,1,0,0,3,2
76,0.0,1,1,2,0,1
77,NaN,0,2,0,1,1
78,NaN,0,0,0,1,0
79,0.0,1,2,0,2,2
80,0.0,1,0,1,0,1
81,0.0,1,0,4,1,0
82,0.0,2,1,0,3,0
83,0.0,1,1,2,0,0
84,0.0,3,1,0,1,2
85,0.0,3,1,3,2,2
86,0.0,1,4,2,0,2
87,0.0,2,1,2,1,2
88,NaN,0,0,0,1,0
89,0.0,1,2,0,1,0
90,NaN,0,1,1,1,2
91,0.0,1,2,3,2,2
92,0.0,3,3,0,3,3
93,0.0,3,1,2,2,2
94,0.0,1,2,1,0,1
95,0.0,1,1,0,0,1
96,0.0,1,0,2,1,1
97,0.0,1,2,0,1,2
98,NaN,0,2,2,4,1
99,0.0,1,2,2,3,3
